实施方案公告日期,分红类型,送股比例,转增比例,派息比例,股权登记日,除权日,派息日,股份到账日,实施方案分红说明,报告时间
2012-05-10,年度分红,,5.0,1.0,2012-05-15,2012-05-16,2012-05-16,2012-05-16,10转增5股派1元(含税),2011年报
2013-04-10,年度分红,,10.0,0.4,2013-04-16,2013-04-17,2013-04-17,2013-04-17,10转增10股派0.4元(含税),2012年报
2014-04-11,年度分红,,,0.1,2014-04-17,2014-04-18,2014-04-18,,10派0.1元(含税),2013年报
2015-03-31,年度分红,,5.0,0.1,2015-04-07,2015-04-08,2015-04-08,2015-04-08,10转增5股派0.1元(含税),2014年报
2016-05-04,年度分红,,,0.2,2016-05-09,2016-05-10,2016-05-10,,10派0.2元(含税),2015年报
2017-05-23,年度分红,,,0.1,2017-05-26,2017-05-31,2017-05-31,,10派0.1元(含税),2016年报
2018-07-05,年度分红,,,0.1,2018-07-11,2018-07-12,2018-07-12,,10派0.1元(含税),2017年报
2019-07-09,年度分红,,,0.1,2019-07-15,2019-07-16,2019-07-16,,10派0.1元(含税),2018年报
2020-06-19,年度分红,,,0.26,2020-06-29,2020-06-30,2020-06-30,,10派0.26元(含税),2019年报
2021-06-09,年度分红,,,0.08,2021-06-17,2021-06-18,2021-06-18,,10派0.08元(含税),2020年报
2022-07-11,年度分红,,,0.22,2022-07-15,2022-07-18,2022-07-18,,10派0.22元(含税),2021年报
2023-07-06,年度分红,,,0.28,2023-07-11,2023-07-12,2023-07-12,,10派0.28元(含税),2022年报
2024-06-05,年度分红,,,1.82,2024-06-11,2024-06-12,2024-06-12,,10派1.82元(含税),2023年报
2025-06-17,年度分红,,,0.8,2025-06-20,2025-06-23,2025-06-23,,10派0.8元(含税),2024年报
2025-10-22,中期分红,,,0.86,2025-10-27,2025-10-28,,,10派0.86元(含税),2025半年报
2026-04-08,年度分红,,,0.87,2026-04-14,2026-04-15,2026-04-15,,10派0.87元(含税),2025年报
