日期,阶段,代码,名称,错误,建议重试
2026-06-04,估值字段,688031,星环科技,估值字段仍缺失：PE分位,否
2026-06-04,估值字段,688062,迈威生物,估值字段仍缺失：PE分位,否
2026-06-04,估值字段,688176,亚虹医药,估值字段仍缺失：PE分位,否
2026-06-04,估值字段,688180,君实生物,估值字段仍缺失：PE分位,否
2026-06-04,估值字段,688192,迪哲医药,估值字段仍缺失：PE分位,否
2026-06-04,估值字段,688197,首药控股,估值字段仍缺失：PE分位,否
2026-06-04,估值字段,688302,海创药业,估值字段仍缺失：PE分位,否
2026-06-04,估值字段,688316,青云科技,估值字段仍缺失：PE分位,否
2026-06-04,估值字段,688327,云从科技,估值字段仍缺失：PE分位,否
2026-06-04,估值字段,688343,云天励飞,估值字段仍缺失：PE分位,否
2026-06-04,估值字段,688373,盟科药业,估值字段仍缺失：PE分位,否
2026-06-04,估值字段,688382,益方生物,估值字段仍缺失：PE分位,否
2026-06-04,估值字段,688443,智翔金泰,估值字段仍缺失：PE分位,否
2026-06-04,估值字段,688538,和辉光电,估值字段仍缺失：PE分位,否
2026-06-04,估值字段,688759,必贝特,估值字段仍缺失：PE分位,否
2026-06-04,估值字段,688765,禾元生物,估值字段仍缺失：PE分位,否
2026-06-04,估值字段,920047,诺思兰德,估值字段仍缺失：PE分位,否
2026-06-04,股息,600515,海南机场,股息率批量超时,是
2026-06-04,股息,600517,国网英大,股息率批量超时,是
2026-06-04,股息,600518,康美药业,股息率批量超时,是
2026-06-04,股息,600523,贵航股份,股息率批量超时,是
2026-06-04,股息,600526,菲达环保,股息率批量超时,是
2026-06-04,股息,600528,中铁工业,股息率批量超时,是
2026-06-04,股息,600533,栖霞建设,股息率批量超时,是
2026-06-04,股息,600536,中国软件,股息率批量超时,是
2026-06-04,股息,600547,山东黄金,股息率批量超时,是
2026-06-04,股息,600551,时代出版,股息率批量超时,是
2026-06-04,股息,600556,天下秀,股息率批量超时,是
2026-06-04,股息,600557,康缘药业,股息率批量超时,是
2026-06-04,股息,600559,老白干酒,股息率批量超时,是
2026-06-04,股息,600560,金自天正,股息率批量超时,是
2026-06-04,股息,600561,江西长运,股息率批量超时,是
2026-06-04,股息,600562,国睿科技,股息率批量超时,是
2026-06-04,股息,600567,山鹰国际,股息率批量超时,是
2026-06-04,股息,600569,安阳钢铁,股息率批量超时,是
2026-06-04,股息,600570,恒生电子,股息率批量超时,是
2026-06-04,股息,600571,信雅达,股息率批量超时,是
2026-06-04,股息,600579,中化装备,股息率批量超时,是
2026-06-04,股息,600583,海油工程,股息率批量超时,是
2026-06-04,股息,600585,海螺水泥,股息率批量超时,是
2026-06-04,股息,600586,金晶科技,股息率批量超时,是
2026-06-04,股息,600587,新华医疗,股息率批量超时,是
2026-06-04,股息,600588,用友网络,股息率批量超时,是
2026-06-04,股息,600592,龙溪股份,股息率批量超时,是
2026-06-04,股息,600594,益佰制药,股息率批量超时,是
2026-06-04,股息,600595,中孚实业,股息率批量超时,是
2026-06-04,股息,600597,光明乳业,股息率批量超时,是
2026-06-04,股息,600602,云赛智联,股息率批量超时,是
2026-06-04,股息,600603,广汇物流,股息率批量超时,是
2026-06-04,股息,600604,市北高新,股息率批量超时,是
2026-06-04,股息,600606,绿地控股,股息率批量超时,是
2026-06-04,股息,600609,金杯汽车,股息率批量超时,是
2026-06-04,股息,600610,中毅达,股息率批量超时,是
2026-06-04,股息,600611,大众交通,股息率批量超时,是
2026-06-04,股息,600612,老凤祥,股息率批量超时,是
2026-06-04,股息,600613,神奇制药,股息率批量超时,是
2026-06-04,股息,600615,鑫源智造,股息率批量超时,是
2026-06-04,股息,600616,金枫酒业,股息率批量超时,是
2026-06-04,股息,600618,氯碱化工,股息率批量超时,是
2026-06-04,股息,600619,海立股份,股息率批量超时,是
2026-06-04,股息,600620,天宸股份,股息率批量超时,是
2026-06-04,股息,600621,华鑫股份,股息率批量超时,是
2026-06-04,股息,600626,申达股份,股息率批量超时,是
2026-06-04,股息,600628,新世界,股息率批量超时,是
2026-06-04,股息,600629,华建集团,股息率批量超时,是
2026-06-04,股息,600633,浙数文化,股息率批量超时,是
2026-06-04,股息,600635,大众公用,股息率批量超时,是
2026-06-04,股息,600637,东方明珠,股息率批量超时,是
2026-06-04,股息,600638,新黄浦,股息率批量超时,是
