日期,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2025-03-18,501.0,8.49,8.42,8.55,8.37,134265.0,117070764.57,2.12,-0.94,-0.08,1.75
2025-03-19,501.0,8.39,8.33,8.43,8.31,88042.0,76143996.0,1.43,-1.07,-0.09,1.15
2025-03-20,501.0,8.33,8.33,8.4,8.31,121352.0,104879961.0,1.08,0.0,0.0,1.58
2025-03-21,501.0,8.29,8.17,8.34,8.13,118187.0,100760223.94,2.52,-1.92,-0.16,1.54
2025-03-24,501.0,8.19,8.16,8.24,8.03,116341.0,98089144.02,2.57,-0.12,-0.01,1.51
2025-03-25,501.0,8.14,8.16,8.21,8.1,82422.0,69598446.15,1.35,0.0,0.0,1.07
2025-03-26,501.0,8.4,8.73,9.01,8.35,543498.0,488711110.76,8.09,6.99,0.57,7.07
2025-03-27,501.0,8.71,8.95,9.11,8.7,502973.0,464723349.63,4.7,2.52,0.22,6.55
2025-03-28,501.0,8.76,8.43,8.84,8.42,343684.0,304299409.04,4.69,-5.81,-0.52,4.47
2025-03-31,501.0,8.5,8.99,9.1,8.43,452964.0,414891020.95,7.95,6.64,0.56,5.9
2025-04-01,501.0,8.84,8.91,9.19,8.77,380940.0,352755660.16,4.67,-0.89,-0.08,4.96
2025-04-02,501.0,8.83,8.81,8.95,8.68,252884.0,230053677.45,3.03,-1.12,-0.1,3.29
2025-04-03,501.0,8.74,9.06,9.11,8.73,350369.0,325399973.22,4.31,2.84,0.25,4.56
2025-04-07,501.0,8.74,8.88,9.46,8.42,620653.0,575278904.44,11.48,-1.99,-0.18,8.08
2025-04-08,501.0,8.82,9.8,9.8,8.78,726528.0,705502280.56,11.49,10.36,0.92,9.46
2025-04-09,501.0,9.77,9.96,10.81,9.26,999029.0,1020930898.51,15.82,1.63,0.16,13.0
2025-04-10,501.0,9.81,10.47,10.96,9.67,979921.0,1043247864.53,12.95,5.12,0.51,12.75
2025-04-11,501.0,10.19,9.94,10.29,9.81,693918.0,717625482.35,4.58,-5.06,-0.53,9.03
2025-04-14,501.0,10.01,9.94,10.42,9.94,663217.0,694690907.83,4.83,0.0,0.0,8.63
2025-04-15,501.0,9.97,9.4,10.03,9.34,612692.0,605370580.38,6.94,-5.43,-0.54,7.97
2025-04-16,501.0,9.32,9.73,9.76,9.11,582949.0,569764044.5,6.91,3.51,0.33,7.59
2025-04-17,501.0,9.59,9.86,10.11,9.47,590225.0,597515842.32,6.58,1.34,0.13,7.68
2025-04-18,501.0,9.81,9.81,10.15,9.48,530520.0,536810973.93,6.8,-0.51,-0.05,6.91
2025-04-21,501.0,9.61,9.84,9.88,9.53,351190.0,352862814.26,3.57,0.31,0.03,4.57
2025-04-22,501.0,9.75,9.68,9.88,9.61,299053.0,299441958.09,2.74,-1.63,-0.16,3.89
2025-04-23,501.0,9.62,9.25,9.63,9.23,425496.0,410379331.04,4.13,-4.44,-0.43,5.54
2025-04-24,501.0,9.21,9.16,9.45,9.09,264788.0,251819109.7,3.89,-0.97,-0.09,3.45
2025-04-25,501.0,9.1,9.12,9.24,9.03,184049.0,173584028.54,2.29,-0.44,-0.04,2.4
2025-04-28,501.0,9.22,8.9,9.26,8.9,199105.0,185523171.52,3.95,-2.41,-0.22,2.59
2025-04-29,501.0,8.86,8.93,8.99,8.82,155813.0,143116401.15,1.91,0.34,0.03,2.03
2025-04-30,501.0,8.98,9.02,9.19,8.98,205818.0,192869369.49,2.35,1.01,0.09,2.68
2025-05-06,501.0,9.07,9.08,9.09,8.96,195461.0,182038394.46,1.44,0.67,0.06,2.54
2025-05-07,501.0,9.14,9.1,9.25,9.03,195628.0,184493857.89,2.42,0.22,0.02,2.55
2025-05-08,501.0,9.03,9.19,9.23,8.94,229103.0,216447381.59,3.19,0.99,0.09,2.98
2025-05-09,501.0,9.17,8.96,9.17,8.95,149217.0,138680721.0,2.39,-2.5,-0.23,1.94
2025-05-12,501.0,8.98,8.92,9.01,8.88,145280.0,133789978.04,1.45,-0.45,-0.04,1.89
2025-05-13,501.0,8.96,8.9,9.03,8.87,102075.0,94016255.04,1.79,-0.22,-0.02,1.33
2025-05-14,501.0,8.91,8.95,8.96,8.81,125977.0,115680683.6,1.69,0.56,0.05,1.64
2025-05-15,501.0,8.92,8.86,8.98,8.85,116071.0,106769423.0,1.45,-1.01,-0.09,1.51
2025-05-16,501.0,8.86,9.03,9.17,8.81,197651.0,182511153.6,4.06,1.92,0.17,2.57
2025-05-19,501.0,8.96,9.06,9.1,8.94,134548.0,125432852.84,1.77,0.33,0.03,1.75
2025-05-20,501.0,9.05,9.06,9.11,9.03,159442.0,149227607.1,0.88,0.0,0.0,2.08
2025-05-21,501.0,9.07,9.07,9.08,8.93,150428.0,139873189.4,1.66,0.11,0.01,1.96
2025-05-22,501.0,9.02,8.88,9.11,8.86,120646.0,111604164.0,2.76,-2.09,-0.19,1.57
2025-05-23,501.0,8.87,8.72,8.89,8.7,135085.0,122625800.95,2.14,-1.8,-0.16,1.76
2025-05-26,501.0,8.71,8.76,8.78,8.67,71144.0,64112962.3,1.26,0.46,0.04,0.93
2025-05-27,501.0,8.76,8.81,8.82,8.73,71824.0,65205427.68,1.03,0.57,0.05,0.93
2025-05-28,501.0,8.79,8.79,8.88,8.77,90395.0,82381045.71,1.25,-0.23,-0.02,1.18
2025-05-29,501.0,8.76,8.81,8.85,8.68,96913.0,88048766.59,1.93,0.23,0.02,1.26
2025-05-30,501.0,8.77,8.78,8.96,8.73,130768.0,118982628.68,2.61,-0.34,-0.03,1.7
2025-06-03,501.0,8.69,8.78,8.86,8.62,102407.0,92643654.0,2.73,0.0,0.0,1.33
2025-06-04,501.0,8.75,8.9,8.9,8.74,116960.0,106697100.79,1.82,1.37,0.12,1.52
2025-06-05,501.0,8.9,8.83,8.95,8.8,91788.0,83966941.25,1.69,-0.79,-0.07,1.19
2025-06-06,501.0,8.83,8.79,8.86,8.79,64862.0,59072830.55,0.79,-0.45,-0.04,0.84
2025-06-09,501.0,8.79,8.8,8.81,8.74,62955.0,57143895.76,0.8,0.11,0.01,0.82
2025-06-10,501.0,8.8,8.68,8.85,8.6,137616.0,124062073.0,2.84,-1.36,-0.12,1.79
2025-06-11,501.0,8.71,8.77,8.84,8.67,101035.0,89550218.37,1.96,1.04,0.09,1.32
2025-06-12,501.0,8.74,8.68,8.77,8.66,97468.0,85831205.78,1.25,-1.03,-0.09,1.27
2025-06-13,501.0,8.64,8.43,8.65,8.43,140662.0,120964882.21,2.53,-2.88,-0.25,1.83
2025-06-16,501.0,8.35,8.44,8.48,8.33,57751.0,49234060.0,1.78,0.12,0.01,0.75
2025-06-17,501.0,8.54,8.45,8.57,8.42,72867.0,62533374.46,1.78,0.12,0.01,0.95
