date,open,high,low,close,volume,amount,outstanding_share,turnover
2025-04-07,6.22,6.31,5.38,5.38,41748690.0,238961827.0,691890445.9999999,0.0603400296121447
2025-04-08,5.46,5.72,5.38,5.55,34634100.0,191954519.0,691890445.9999999,0.0500572022640705
2025-04-09,5.45,5.85,4.99,5.79,42425860.0,233762210.0,691890445.9999999,0.0613187539230741
2025-04-10,6.0,6.16,5.93,5.96,34915956.0,211028294.0,691890445.9999999,0.0504645731153801
2025-04-11,5.89,6.09,5.82,6.0,24946460.0,149768948.0,691890445.9999999,0.0360555058163066
2025-04-14,6.13,6.22,6.08,6.11,24873184.0,152977140.0,691890445.9999999,0.0359495988762359
2025-04-15,6.23,6.32,6.01,6.07,26613800.0,162794931.0,691890445.9999999,0.0384653381960415
2025-04-16,6.01,6.09,5.82,5.94,20535500.0,122301529.0,691890445.9999999,0.0296802768685723
2025-04-17,5.88,6.02,5.86,5.91,17170700.0,102517355.0,691890445.9999999,0.024817079205629
2025-04-18,5.89,6.13,5.84,6.04,29911986.0,179613664.0,691890445.9999999,0.0432322576109108
2025-04-21,5.96,6.14,5.93,6.13,24224085.0,147401645.0,691890445.9999999,0.0350114460172788
2025-04-22,6.1,6.14,6.03,6.07,18769300.0,113982964.0,691890445.9999999,0.0271275605964936
2025-04-23,6.09,6.17,6.07,6.14,24572800.0,150524322.0,691890445.9999999,0.0355154492189649
2025-04-24,6.04,6.08,5.9,5.97,27648900.0,165399568.0,691890445.9999999,0.0399613842911772
2025-04-25,5.95,6.05,5.91,5.95,18422600.0,110178634.0,691890445.9999999,0.0266264697055811
2025-04-28,5.93,5.98,5.76,5.87,21144413.0,123939181.0,691890445.9999999,0.0305603482780278
2025-04-29,5.84,5.98,5.79,5.94,15502310.0,91865797.0,691890445.9999999,0.0224057292445977
2025-04-30,5.94,6.13,5.94,6.1,21057800.0,128022340.0,691890445.9999999,0.0304351651648619
2025-05-06,6.17,6.31,6.13,6.31,25203810.0,157699382.0,691890445.9999999,0.036427457765474
2025-05-07,6.39,6.44,6.21,6.31,27612400.0,174364741.0,691890445.9999999,0.0399086302746836
2025-05-08,6.26,6.45,6.21,6.42,23637860.0,150956139.0,691890445.9999999,0.0341641659263495
2025-05-09,6.4,6.4,6.2,6.25,21103761.0,132271038.0,691890445.9999999,0.0305015933114937
2025-05-12,6.36,6.53,6.31,6.53,32029301.0,205983778.0,691890445.9999999,0.0462924458419245
2025-05-13,6.6,6.61,6.32,6.34,34393685.0,221332553.0,691890445.9999999,0.0497097267332406
2025-05-14,6.4,6.43,6.29,6.4,23257000.0,147873644.0,691890445.9999999,0.0336137030572611
2025-05-15,6.42,6.55,6.16,6.16,27265680.0,170581939.0,691890445.9999999,0.0394075104774607
2025-05-16,6.12,6.27,6.09,6.21,20392920.0,126845179.0,691890445.9999999,0.0294742037816778
