date,open,close,high,low,amount
2025-05-06,61.56,62.51,62.96,60.4,7855976.0
2025-05-07,63.17,61.15,64.09,59.78,7887131.0
2025-05-08,60.28,61.6,62.39,60.28,4569916.0
2025-05-09,61.57,60.96,62.83,60.73,4565887.0
2025-05-12,61.97,60.6,62.46,59.31,7242687.0
2025-05-13,61.18,60.15,62.07,59.53,5347563.0
2025-05-14,60.18,59.45,60.55,59.17,5867394.0
2025-05-15,59.65,62.32,62.47,58.68,9875259.0
2025-05-16,62.21,61.97,62.82,61.27,6746687.0
2025-05-19,62.07,63.46,63.96,62.02,9507893.0
2025-05-20,63.57,63.47,64.74,62.77,6448823.0
2025-05-21,63.47,65.32,65.75,62.75,6371511.0
2025-05-22,65.16,66.32,66.65,64.75,6168515.0
2025-05-23,66.36,64.64,68.3,64.63,8899973.0
2025-05-26,64.07,63.85,64.47,63.27,5830086.0
2025-05-27,63.97,62.8,64.33,62.25,5868779.0
2025-05-28,62.8,63.07,63.52,62.25,3652999.0
2025-05-29,62.97,62.95,65.63,62.84,6331514.0
2025-05-30,62.48,64.09,64.55,62.48,5064019.0
2025-06-03,64.09,65.07,66.09,63.49,6423800.0
2025-06-04,65.38,64.49,65.57,63.95,6035933.0
2025-06-05,64.46,64.83,64.87,63.47,4111601.0
2025-06-06,64.47,60.64,65.29,59.47,15223311.0
2025-06-09,60.47,61.25,61.5,59.51,7042531.0
2025-06-10,61.25,61.05,61.7,60.09,6394545.0
2025-06-11,61.07,60.0,61.75,59.13,7829475.0
2025-06-12,59.92,59.02,60.26,57.07,13325190.0
2025-06-13,58.59,58.08,59.58,57.58,10672186.0
2025-06-16,58.08,57.28,59.15,56.89,8566876.0
2025-06-17,57.28,58.59,59.03,57.26,7193191.0
2025-06-18,58.53,57.57,60.26,57.22,7039975.0
2025-06-19,57.59,57.72,58.16,57.02,5011303.0
2025-06-20,57.94,59.36,59.37,57.26,6649279.0
2025-06-23,59.91,58.58,60.27,57.24,9511145.0
2025-06-24,58.58,59.06,59.52,58.19,6109333.0
2025-06-25,59.16,58.62,59.17,57.68,8650922.0
2025-06-26,58.68,57.57,58.98,57.5,6919911.0
2025-06-27,57.57,57.61,58.36,57.28,6145018.0
2025-06-30,57.63,58.75,59.08,57.35,8483309.0
2025-07-01,58.78,58.71,59.26,57.86,6481803.0
2025-07-02,58.48,58.26,59.39,58.22,7212873.0
2025-07-03,58.3,61.23,61.34,58.3,11817973.0
2025-07-04,60.87,60.18,61.04,59.93,6360026.0
2025-07-07,59.71,58.49,59.89,58.03,7701820.0
2025-07-08,58.18,58.62,58.88,57.91,5622603.0
2025-07-09,58.46,58.77,59.07,57.28,9484837.0
2025-07-10,58.32,57.58,58.55,57.48,7149221.0
2025-07-11,57.58,57.89,58.58,57.24,6487582.0
2025-07-14,57.6,58.98,59.75,57.49,7919048.0
2025-07-15,58.92,59.47,60.43,58.77,7038690.0
2025-07-16,59.43,58.68,60.43,58.52,5900056.0
2025-07-17,58.78,58.0,59.34,57.88,8139344.0
2025-07-18,58.11,58.15,58.27,57.59,5580227.0
2025-07-21,58.37,57.58,58.58,57.48,8264128.0
2025-07-22,57.58,57.72,57.95,57.14,6230719.0
2025-07-23,57.73,58.63,59.25,57.38,11393063.0
2025-07-24,58.63,58.78,59.18,58.23,6697875.0
2025-07-25,58.87,58.63,59.35,58.39,7312318.0
2025-07-28,59.08,58.77,59.67,58.5,7167732.0
2025-07-29,58.77,58.16,58.95,57.92,6793733.0
2025-07-30,58.38,60.74,61.23,58.04,17955990.0
2025-07-31,61.08,60.1,62.51,59.77,15167329.0
2025-08-01,60.45,58.22,60.55,56.91,18882999.0
2025-08-04,61.58,60.56,63.46,59.37,26852014.0
2025-08-05,60.58,64.79,65.28,60.56,24748572.0
2025-08-06,65.0,65.04,65.15,63.43,16762603.0
2025-08-07,65.04,63.66,65.17,63.63,10387526.0
2025-08-08,63.58,62.19,64.78,61.93,14562787.0
2025-08-11,62.35,61.68,62.64,61.15,12939333.0
2025-08-12,61.58,61.32,62.41,60.58,13723663.0
2025-08-13,61.58,61.23,62.37,60.95,15338115.0
2025-08-14,61.59,59.28,61.86,59.28,20481468.0
2025-08-15,59.41,60.74,61.02,59.08,14270795.0
2025-08-18,60.8,63.43,65.1,60.46,27465246.0
2025-08-19,63.53,63.63,64.8,62.75,15751128.0
2025-08-20,63.59,64.16,64.75,62.8,11373655.0
2025-08-21,64.69,64.93,67.17,64.04,18834319.0
2025-08-22,64.48,65.25,66.93,64.19,18631948.0
2025-08-25,66.67,67.84,69.38,66.0,24881316.0
2025-08-26,68.08,68.78,71.18,67.09,20365040.0
2025-08-27,69.47,66.28,69.55,66.24,22760997.0
2025-08-28,66.29,67.3,68.25,65.58,21532061.0
2025-08-29,67.09,72.73,76.58,66.38,33114151.0
2025-09-01,72.88,72.75,74.36,71.86,21866228.0
2025-09-02,73.68,69.08,73.88,68.27,24445232.0
2025-09-03,69.48,69.41,71.62,69.04,18582175.0
2025-09-04,69.57,67.69,71.09,66.29,19796616.0
2025-09-05,67.38,68.38,68.84,66.88,16140512.0
2025-09-08,68.28,67.8,69.15,66.61,17167089.0
2025-09-09,67.96,67.08,69.02,66.59,14468646.0
2025-09-10,66.63,66.56,67.68,66.08,11551731.0
2025-09-11,66.46,67.77,67.94,65.24,17034796.0
2025-09-12,67.58,66.58,67.9,66.58,16792531.0
2025-09-15,66.6,65.71,66.88,65.58,13702212.0
2025-09-16,65.69,66.62,66.86,65.21,13707764.0
2025-09-17,67.38,69.9,70.28,67.18,24397353.0
2025-09-18,69.88,67.64,70.68,66.66,20710018.0
2025-09-19,67.87,67.93,69.91,67.58,13876193.0
2025-09-22,68.58,67.84,69.19,66.93,12268902.0
2025-09-23,67.16,66.37,67.76,64.18,16989810.0
2025-09-24,65.74,66.97,67.46,65.54,10950236.0
2025-09-25,67.28,67.37,68.96,66.38,13404363.0
2025-09-26,67.38,65.73,67.57,65.58,12481538.0
2025-09-29,65.57,65.69,65.83,64.31,10763430.0
2025-09-30,65.73,66.48,66.93,65.69,9933203.0
2025-10-09,66.43,66.71,67.45,65.98,12648116.0
2025-10-10,66.66,67.03,68.87,66.1,16075782.0
2025-10-13,63.57,64.57,65.42,62.75,14570331.0
2025-10-14,64.41,62.59,65.24,62.54,12550623.0
2025-10-15,62.86,65.48,65.69,62.65,13156253.0
2025-10-16,65.46,63.94,65.74,63.64,11311565.0
2025-10-17,64.08,62.45,65.88,62.13,13181120.0
2025-10-20,63.44,63.59,64.1,62.75,8198745.0
2025-10-21,64.07,64.72,65.23,63.79,8339325.0
2025-10-22,64.58,63.0,65.01,63.0,9714893.0
2025-10-23,63.02,62.77,63.35,61.69,6725695.0
2025-10-24,63.03,65.05,65.08,63.03,15681135.0
2025-10-27,62.4,62.83,63.36,60.38,33015626.0
2025-10-28,62.28,60.92,62.3,60.91,14984090.0
2025-10-29,60.68,61.24,61.31,59.68,10647548.0
2025-10-30,60.68,59.61,61.11,59.58,11625964.0
2025-10-31,59.61,60.7,61.35,59.6,8704046.0
2025-11-03,60.53,60.14,60.69,59.68,7053446.0
2025-11-04,60.3,58.28,60.37,57.88,12724938.0
2025-11-05,57.88,57.54,58.09,57.4,7762964.0
2025-11-06,57.35,58.39,58.55,57.3,7755400.0
2025-11-07,58.32,58.17,59.07,57.92,7333766.0
2025-11-10,58.19,58.4,58.64,57.08,8214709.0
2025-11-11,58.74,57.98,58.95,57.86,5667496.0
2025-11-12,57.9,60.08,60.22,57.81,13616443.0
2025-11-13,60.14,59.91,60.56,59.67,6761817.0
2025-11-14,59.5,59.91,60.82,59.3,6021841.0
2025-11-17,59.94,56.06,60.1,55.55,19439810.0
2025-11-18,56.01,55.6,56.25,55.13,8167954.0
2025-11-19,55.74,55.82,56.2,55.55,4295900.0
2025-11-20,55.84,54.05,56.29,53.88,11066642.0
2025-11-21,53.03,54.67,55.94,53.02,11210081.0
2025-11-24,54.66,56.22,56.89,54.5,8822821.0
2025-11-25,56.97,56.34,57.5,56.05,7178012.0
2025-11-26,56.28,56.2,56.76,55.46,6256264.0
2025-11-27,56.01,56.33,57.18,55.65,5994297.0
