代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,换手率,市盈率-动态,量比,最高,最低,今开,昨收,总市值,流通市值,市净率_x,60日涨跌幅,年初至今涨跌幅,市盈率TTM,现价,半年线,半年线乖离率,价格达标,价格数据日期,市盈率,市净率_y,市盈率10年分位,市净率10年分位,估值分位达标,估值数据日期,总市值_估值源,价格估值错误,市净率,股息率,股息率达标,股息数据日期,股息错误,所属行业,行业错误
000157,中联重科,7.77,-3.6,-0.29,1040307.0,815554307.71,3.72,1.47,19.0,1.84,8.05,7.75,8.05,8.06,67199118784.0,54931332792.0,1.15,-11.4,-7.83,15.51,7.77,8.680250000000001,-10.486449123009145,True,2026-05-08,15.51,1.15,38.13056379821958,58.40751730959446,False,2026-05-08,67199118784.0,,1.15,6.435006435006435,True,2026-01-09,,工程机械,
000501,武商集团,8.31,-0.48,-0.04,24822.0,20647930.0,0.96,0.32,12.95,0.8,8.37,8.29,8.34,8.35,6390329595.0,6383914565.0,0.58,-21.53,-17.89,39.63,8.31,9.540666666666665,-12.899168471804877,True,2026-05-08,39.63,0.58,92.33432245301681,9.940652818991099,True,2026-05-08,6390329595.0,,0.58,3.6101083032490973,True,2025-10-22,,一般零售,
000568,泸州老窖,98.09,-0.97,-0.96,35218.0,346185557.79,1.15,0.24,9.73,0.6,99.02,97.88,98.99,99.05,144382787151.0,144315539982.0,2.8,-18.87,-14.6,14.52,98.09,115.92108333333333,-15.382088245379578,True,2026-05-08,14.52,2.8,16.81503461918892,0.04945598417408506,True,2026-05-08,144382787151.0,,2.8,6.065857885615252,True,2026-01-30,,白酒Ⅱ,
000596,古井贡酒,106.76,-1.35,-1.46,17637.0,188361704.5,2.46,0.43,8.78,1.27,108.66,106.0,108.21,108.22,56433336000.0,43622136000.0,2.16,-18.58,-18.88,19.97,106.76,130.074,-17.923643464489448,True,2026-05-08,19.97,2.16,24.03560830860534,0.791295746785361,True,2026-05-08,56433336000.0,,2.16,5.620082427875609,True,2026-02-10,,白酒Ⅱ,
000625,长安汽车,9.33,-0.32,-0.03,561146.0,522557713.8,1.28,0.68,65.96,1.44,9.38,9.26,9.35,9.36,92487581965.0,77132163506.0,1.2,-16.1,-21.33,30.1,9.33,11.135916666666667,-16.217045446041713,True,2026-05-08,30.1,1.2,78.1214848143982,27.992087042532148,True,2026-05-08,92487581965.0,,1.2,3.6977491961414795,True,2025-11-28,,乘用车,
000858,五 粮 液,92.44,-0.17,-0.16,158073.0,1459650447.05,1.23,0.41,11.13,0.75,92.8,91.66,92.6,92.6,358815843982.0,358807097864.0,2.8,-11.96,-12.74,28.48,92.44,107.23074999999999,-13.793384826647204,True,2026-05-08,28.48,2.8,52.62116716122651,0.09891196834817012,True,2026-05-08,358815843982.0,,2.8,6.2170056252704455,True,2025-12-18,,白酒Ⅱ,
000913,钱江摩托,13.37,-0.52,-0.07,25650.0,34311387.0,0.74,0.49,-45.21,0.92,13.44,13.34,13.4,13.44,7038115070.0,6953772765.0,1.32,-14.57,-13.29,8.27,13.37,15.35575,-12.931637985770806,True,2026-05-08,8.27,1.32,0.04945598417408506,0.741839762611276,True,2026-05-08,7038115070.0,,1.32,6.731488406881078,True,2025-09-12,,摩托车及其他,
000915,华特达因,28.98,0.59,0.17,32371.0,94684106.0,2.05,1.38,15.35,1.63,29.57,28.98,29.33,28.81,6790926435.0,6786606966.0,2.29,-10.42,-12.29,14.66,28.98,32.45875,-10.717449069973428,True,2026-05-08,14.66,2.29,29.179030662710186,12.80909990108803,True,2026-05-08,6790926435.0,,2.29,8.62663906142167,True,2025-10-17,,化学制药,
001206,依依股份,19.13,0.95,0.18,18476.0,35118968.37,2.43,1.73,31.94,1.57,19.21,18.75,18.95,18.95,3537018547.0,2044317082.0,1.9,-23.05,-35.13,22.58,19.13,25.901833333333332,-26.14422402532639,True,2026-05-08,22.58,1.9,46.39004149377593,51.70124481327802,False,2026-05-08,3537018547.0,,1.9,4.338734971249347,True,2026-02-04,,个护用品,
001207,联科科技,17.93,-1.43,-0.26,39980.0,72233473.3,2.03,1.37,20.83,1.13,18.26,17.89,18.12,18.19,5435259750.0,5246714110.0,1.6,-7.86,0.96,19.78,17.93,24.8685,-27.90075798701168,True,2026-05-08,19.78,1.6,44.74576271186441,5.508474576271186,True,2026-05-08,5435259750.0,,1.6,4.4617958728388185,True,2026-04-08,,橡胶,
001299,美能能源,11.19,1.73,0.19,46415.0,51709369.82,2.64,1.64,31.74,0.77,11.25,10.96,11.0,11.0,3516067943.0,3165374338.0,2.19,14.3,1.91,33.91,11.19,13.159666666666665,-14.967451049925263,True,2026-05-08,33.91,2.19,65.14084507042254,41.19718309859155,False,2026-05-08,3516067943.0,,2.19,5.808757819481681,True,2026-04-29,,燃气Ⅱ,
002027,分众传媒,6.26,-1.42,-0.09,913328.0,576715007.64,2.52,0.63,12.63,1.14,6.4,6.24,6.36,6.35,90408170285.0,90408170285.0,5.85,-13.06,-15.06,25.11,6.26,7.037916666666666,-11.053223610206608,True,2026-05-08,25.11,5.85,66.66666666666666,38.87240356083086,False,2026-05-08,90408170285.0,,5.85,6.0702875399361025,True,2025-11-25,,广告营销,
002088,鲁阳节能,10.03,1.01,0.1,16837.0,16874154.32,1.61,0.33,441.33,0.73,10.09,9.93,9.95,9.93,5146619538.0,5072515811.0,2.03,-24.47,-4.2,-361.88,10.03,11.202500000000002,-10.466413746931513,True,2026-05-08,-361.88,2.03,,22.799208704253214,True,2026-05-08,5146619538.0,估值字段仍缺失：PE分位,2.03,7.976071784646063,True,2025-06-13,,未知,"HTTPSConnectionPool(host='push2.eastmoney.com', port=443): Read timed out. (read timeout=10)"
002101,广东鸿图,10.04,0.4,0.04,52554.0,52543401.83,1.4,0.79,-236.31,1.74,10.08,9.94,10.01,10.0,6654743030.0,6648610478.0,0.84,-17.02,-18.51,21.46,10.04,11.911583333333333,-15.712296853902718,True,2026-05-08,21.46,0.84,59.17355371900827,12.858555885262115,True,2026-05-08,6654743030.0,,0.84,3.117529880478088,True,2025-07-07,,汽车零部件,
002258,利尔化学,12.35,-1.04,-0.13,96057.0,119323043.22,1.92,1.2,21.48,1.16,12.57,12.33,12.47,12.48,9885399766.0,9869483913.0,1.23,-30.62,-5.36,22.43,12.35,14.504416666666666,-14.85352162846949,True,2026-05-08,22.43,1.23,63.94658753709199,18.694362017804153,True,2026-05-08,9885399766.0,,1.23,3.2388663967611335,True,2025-09-23,,农化制品,
002270,华明装备,24.59,0.33,0.08,203647.0,497213591.37,4.77,2.27,33.8,1.55,25.08,23.91,24.32,24.51,22038183348.0,22037830187.0,7.06,-16.84,-0.97,31.42,24.59,28.285916666666665,-13.066278566188705,True,2026-05-08,31.42,7.06,91.0484668644906,94.55984174085064,False,2026-05-08,22038183348.0,,7.06,3.3753558357055713,True,2026-04-30,,电网设备,
002303,美盈森,3.47,0.58,0.02,111669.0,38725896.29,1.74,1.15,21.65,1.09,3.49,3.43,3.45,3.45,5313693187.0,3355077268.0,1.18,-16.79,-13.9,21.96,3.47,3.924666666666667,-11.584847970103617,True,2026-05-08,21.96,1.18,52.274975272007914,47.675568743818005,False,2026-05-08,5313693187.0,,1.18,5.677233429394812,True,2025-11-25,,未知,"HTTPSConnectionPool(host='push2.eastmoney.com', port=443): Read timed out. (read timeout=10)"
002304,洋河股份,48.36,-0.56,-0.27,36291.0,175419027.5,0.78,0.24,7.44,1.25,48.56,48.18,48.5,48.63,72851683779.0,72849964581.0,1.48,-12.58,-20.38,71.74,48.36,57.565916666666666,-15.991957046342531,True,2026-05-08,71.74,1.48,99.75272007912957,0.04945598417408506,True,2026-05-08,72851683779.0,,1.48,4.79114971050455,True,2025-06-27,,白酒Ⅱ,
002315,焦点科技,32.86,1.58,0.51,120357.0,398741201.12,3.93,4.58,34.59,2.79,33.72,32.45,32.67,32.35,13551681829.0,8639329954.0,3.62,-16.64,-5.19,27.68,32.86,44.285000000000004,-25.79880320650334,True,2026-05-08,27.68,3.62,40.75173095944609,67.35905044510386,False,2026-05-08,13551681829.0,,3.62,3.956177723676203,True,2026-04-23,,互联网电商,
002345,潮宏基,10.44,-1.14,-0.12,140818.0,148221355.0,3.13,1.62,8.8,1.09,10.75,10.42,10.61,10.56,9276072661.0,9053874571.0,2.31,-18.37,-16.48,16.23,10.44,11.981666666666667,-12.866879955487565,True,2026-05-08,16.23,2.31,33.44316309719934,82.93768545994065,False,2026-05-08,9276072661.0,,2.31,3.3524904214559386,True,2025-10-15,,饰品,
002367,康力电梯,6.18,0.82,0.05,51098.0,31405135.76,1.14,0.64,33.48,1.02,6.18,6.11,6.14,6.13,4930066918.0,4910478018.0,1.35,-23.42,-23.33,16.55,6.18,7.423916666666666,-16.7555311100385,True,2026-05-08,16.55,1.35,40.0593471810089,7.764589515331355,True,2026-05-08,4930066918.0,,1.35,4.854368932038835,True,2025-05-23,,专用设备,
002393,力生制药,16.47,-0.72,-0.12,18176.0,30063537.52,1.33,0.61,24.52,1.06,16.67,16.45,16.58,16.59,5088640621.0,4944581303.0,0.92,-6.37,-5.07,12.32,16.47,21.662583333333334,-23.970286707879573,True,2026-05-08,12.32,0.92,6.231454005934718,32.4431256181998,True,2026-05-08,5088640621.0,,0.92,5.464480874316941,True,2026-04-28,,化学制药,
002483,润邦股份,6.41,-0.62,-0.04,74816.0,47923506.7,1.09,0.85,20.76,1.09,6.45,6.38,6.44,6.45,5682262527.0,5674457622.0,1.23,-12.79,-10.22,15.84,6.41,7.126666666666667,-10.056127221702527,True,2026-05-08,15.84,1.23,18.100890207715135,53.560830860534125,True,2026-05-08,5682262527.0,,1.23,4.680187207488299,True,2025-06-06,,专用设备,
002540,亚太科技,6.0,-0.5,-0.03,49885.0,29916780.8,0.83,0.58,47.33,0.84,6.03,5.98,6.03,6.03,7506863238.0,5149207014.0,1.34,-22.48,-15.25,20.21,6.0,6.987833333333333,-14.136475302311148,True,2026-05-08,20.21,1.34,83.28387734915925,45.94460929772502,False,2026-05-08,7506863238.0,,1.34,5.0,True,2025-09-23,,工业金属,
002543,万和电气,8.32,0.24,0.02,21624.0,17910089.99,0.84,0.33,19.43,0.86,8.32,8.25,8.27,8.3,6186752000.0,5504662600.0,1.28,-17.13,-18.51,53.34,8.32,9.7,-14.226804123711334,True,2026-05-08,53.34,1.28,99.95054401582591,5.934718100890208,True,2026-05-08,6186752000.0,,1.28,3.125,True,2025-09-12,,厨卫电器,
002572,索菲亚,12.05,1.43,0.17,80005.0,96204221.99,3.28,1.23,-75.49,1.16,12.19,11.8,11.81,11.88,11604718326.0,7850136621.0,1.58,-18.91,-11.46,13.64,12.05,13.521583333333332,-10.883217571906634,True,2026-05-08,13.64,1.58,32.59149357072206,0.19782393669634024,True,2026-05-08,11604718326.0,,1.58,8.29875518672199,True,2025-05-29,,未知,"HTTPSConnectionPool(host='push2.eastmoney.com', port=443): Read timed out. (read timeout=10)"
002601,龙佰集团,16.45,-0.36,-0.06,136303.0,224944861.84,1.15,0.69,52.43,0.68,16.6,16.41,16.44,16.51,39220880521.0,32696065830.0,1.72,-25.77,-15.99,52.61,16.45,19.137916666666666,-14.04498051424964,True,2026-05-08,52.61,1.72,99.75272007912957,6.577645895153314,True,2026-05-08,39220880521.0,,1.72,3.64741641337386,True,2025-12-17,,化学原料,
002736,国信证券,10.71,-0.93,-0.1,166378.0,178833368.2,0.93,0.17,13.03,0.68,10.81,10.71,10.77,10.81,109689068173.0,102949118628.0,1.09,-13.91,-17.74,10.11,10.71,12.494666666666667,-14.283427595774189,True,2026-05-08,10.11,1.09,7.121661721068249,10.385756676557865,True,2026-05-08,109689068173.0,,1.09,4.201680672268907,True,2026-02-11,,证券Ⅱ,
002758,浙农股份,9.01,0.11,0.01,46126.0,41600628.75,1.11,0.89,21.58,0.76,9.08,8.98,9.01,9.0,4674410516.0,4669029969.0,0.9,-17.49,-10.53,8.64,9.01,10.057833333333333,-10.418082091901837,True,2026-05-08,8.64,0.9,2.0276953511374876,2.571711177052423,True,2026-05-08,4674410516.0,,0.9,3.3296337402885685,True,2025-05-27,,综合Ⅱ,
002852,道道全,9.01,0.11,0.01,17635.0,15879710.0,0.89,0.62,54.84,0.32,9.05,8.97,9.02,9.0,3099154428.0,2575066650.0,1.37,-22.06,-13.61,21.38,9.01,10.594666666666667,-14.957211175434182,True,2026-05-08,21.38,1.37,43.152866242038215,8.061325420375866,True,2026-05-08,3099154428.0,,1.37,3.2852386237513875,True,2026-04-21,,农产品加工,
002911,佛燃能源,11.91,-0.83,-0.1,33937.0,40510621.63,1.33,0.27,46.7,0.73,12.05,11.89,12.01,12.01,15461274135.0,15090422592.0,3.66,-14.81,2.67,14.98,11.91,13.4625,-11.53203342618384,True,2026-05-08,14.98,3.66,7.665677546983185,80.61325420375866,True,2026-05-08,15461274135.0,,3.66,4.36607892527288,True,2026-04-24,,未知,"HTTPSConnectionPool(host='push2.eastmoney.com', port=443): Read timed out. (read timeout=10)"
002984,森麒麟,16.6,-0.9,-0.15,126541.0,207345748.55,2.87,1.77,20.51,1.42,16.7,16.22,16.65,16.75,17202362059.0,11851218478.0,1.27,-18.87,-21.59,17.67,16.6,19.875583333333335,-16.480438729261614,True,2026-05-08,17.67,1.27,40.702781844802345,0.07320644216691069,True,2026-05-08,17202362059.0,,1.27,3.5542168674698797,True,2025-11-10,,汽车零部件,
003012,东鹏控股,5.59,-0.36,-0.02,67930.0,38147402.0,1.43,0.6,-32.35,0.84,5.67,5.59,5.62,5.61,6467524673.0,6341931740.0,0.86,-23.95,-14.66,19.46,5.59,6.753,-17.22197541833259,True,2026-05-08,19.46,0.86,43.00254452926209,2.3031203566121845,True,2026-05-08,6467524673.0,,0.86,4.47227191413238,True,2025-05-23,,家居用品,
300019,硅宝科技,18.15,-0.49,-0.09,25437.0,46284411.0,1.04,0.69,38.77,0.91,18.3,18.11,18.16,18.24,7135068105.0,6690269794.0,2.59,-17.46,-10.81,28.13,18.15,21.206333333333337,-14.412361087096649,True,2026-05-08,28.13,2.59,49.15924826904055,14.342235410484669,True,2026-05-08,7135068105.0,,2.59,3.3057851239669422,True,2026-04-30,,未知,"HTTPSConnectionPool(host='push2.eastmoney.com', port=443): Read timed out. (read timeout=10)"
300146,汤臣倍健,10.5,-0.1,-0.01,69789.0,73577156.05,1.05,0.62,11.05,0.99,10.59,10.48,10.5,10.51,17762608826.0,11767188920.0,1.54,-10.41,-9.17,24.35,10.5,11.813333333333333,-11.117381489841982,True,2026-05-08,24.35,1.54,43.01014656144307,0.1483679525222552,True,2026-05-08,17762608826.0,,1.54,4.285714285714286,True,2026-04-21,,食品加工,
300232,洲明科技,6.45,-0.62,-0.04,135953.0,87802125.0,1.39,1.54,-21.14,1.18,6.5,6.41,6.45,6.49,7014034124.0,5712391468.0,1.55,-17.62,-9.03,-94.31,6.45,7.322333333333333,-11.913324532252922,True,2026-05-08,-94.31,1.55,,22.8486646884273,True,2026-05-08,7014034124.0,估值字段仍缺失：PE分位,1.55,3.7209302325581395,True,2025-05-22,,光学光电子,
300360,炬华科技,14.78,-1.4,-0.21,43699.0,64705961.0,1.6,0.87,19.94,0.91,14.97,14.73,14.97,14.99,7599685722.0,7394088695.0,1.79,-13.97,-15.01,15.6,14.78,17.046916666666668,-13.298103762655034,True,2026-05-08,15.6,1.79,43.916913946587535,26.904055390702275,True,2026-05-08,7599685722.0,,1.79,4.7361299052774015,True,2025-12-19,,电网设备,
300396,ST迪瑞,8.6,3.12,0.26,94395.0,80467380.46,5.16,3.47,-515.38,2.53,8.73,8.3,8.3,8.34,2345221385.0,2341463735.0,1.53,-35.34,-33.33,-8.92,8.6,12.730166666666667,-32.44393239156336,True,2026-05-08,-8.92,1.53,,0.09891196834817012,True,2026-05-08,2345221385.0,估值字段仍缺失：PE分位,1.53,3.023255813953489,True,2025-05-20,,未知,"HTTPSConnectionPool(host='push2.eastmoney.com', port=443): Read timed out. (read timeout=10)"
300501,海顺新材,14.11,2.99,0.41,61235.0,86153426.23,4.89,4.29,-90.6,1.06,14.28,13.61,13.66,13.7,3925157841.0,2013138761.0,1.96,36.33,37.52,-76.42,14.11,16.313333333333333,-13.506334286881893,True,2026-05-08,-76.42,1.96,,34.767556874381796,False,2026-05-08,3925157841.0,估值字段仍缺失：PE分位,1.96,7.583274273564847,True,2026-04-28,,未知,"HTTPSConnectionPool(host='push2.eastmoney.com', port=443): Read timed out. (read timeout=10)"
300532,今天国际,8.04,1.13,0.09,84210.0,67411125.28,2.39,1.39,24.69,1.53,8.07,7.88,7.93,7.95,5110548012.0,4861960932.0,1.98,-6.51,-2.78,23.55,8.04,11.759083333333333,-31.627323558383946,True,2026-05-08,23.55,1.98,35.68486096807415,0.6429277942631058,True,2026-05-08,5110548012.0,,1.98,6.218905472636817,True,2026-05-06,,IT服务Ⅱ,
300533,冰川网络,28.83,3.19,0.89,122444.0,357934154.4,7.55,7.42,-173.09,2.46,29.89,27.78,27.93,27.94,6759538595.0,4756191137.0,4.44,-17.56,-16.99,23.73,28.83,33.02141666666667,-12.69302498126217,True,2026-05-08,23.73,4.44,25.267800882167613,83.48170128585559,True,2026-05-08,6759538595.0,,4.44,3.46860908775581,True,2025-10-28,,未知,"HTTPSConnectionPool(host='push2.eastmoney.com', port=443): Read timed out. (read timeout=10)"
300791,仙乐健康,19.15,0.16,0.03,5716.0,10960322.45,0.84,0.22,29.61,0.69,19.24,19.08,19.12,19.12,5911445346.0,4915483146.0,2.11,-18.16,-25.95,50.18,19.15,22.50466666666666,-14.906537903249683,True,2026-05-08,50.18,2.11,88.5625,11.875,True,2026-05-08,5911445346.0,,2.11,3.3942558746736298,True,2025-05-27,,食品加工,
