代码,名称,最新价,买入,卖出,昨收,今开,最高,最低,成交量,成交额,涨跌幅,涨跌额,现价,半年线,半年线乖离率,价格达标,价格数据日期,市盈率,市净率,市盈率10年分位,市净率10年分位,估值分位达标,估值数据日期,总市值_估值源,价格错误,估值错误,价格估值错误,数据状态,总市值,股息率,股息率达标,股息数据日期,股息错误,所属行业,行业错误
000030,富奥股份,4.38,4.38,4.39,4.38,4.37,4.48,4.29,16257508.0,71059888.0,0.0,0.0,4.38,5.216166666666667,-16.030290443173477,True,2026-06-16,11.340000000000003,0.8828571428571422,26.001955034213097,0.19550342130987292,True,2026-06-16,7532771501.142851,,,,正常,7532771501.142851,3.4246575342465753,True,2025-06-30,,底盘与发动机系统,
000157,中联重科,7.58,7.58,7.59,7.63,7.65,7.66,7.57,64318966.0,489217871.0,-0.655,-0.05,7.58,8.46375,-10.441589130113716,True,2026-06-16,15.13077120822622,1.1204370179948597,35.826001955034215,52.883675464320625,False,2026-06-16,65555897088.80205,,,,正常,65555897088.80205,6.596306068601583,True,2026-01-09,,工程机械整机,
000401,金隅冀东,3.81,3.81,3.82,3.85,3.85,3.86,3.79,5486000.0,20883376.0,-1.039,-0.04,3.81,4.624,-17.6038062283737,True,2026-06-16,104.01210772833723,0.3836768149882899,96.58753709198812,0.09765625,True,2026-06-16,10127807664.948467,,,,正常,10127807664.948467,5.2493438320209975,True,2026-05-29,,水泥制造,
000419,通程控股,4.85,4.85,4.86,4.91,4.89,4.91,4.77,6135338.0,29612205.0,-1.222,-0.06,4.85,6.006,-19.247419247419263,True,2026-06-16,18.49322469982849,0.7736706689536877,50.048875855327466,16.226783968719452,True,2026-06-16,2636375877.0411677,,,,正常,2636375877.0411677,3.0927835051546393,True,2025-08-08,,多业态零售,
000498,山东路桥,5.05,5.05,5.06,5.1,5.1,5.11,5.04,5395100.0,27300852.0,-0.98,-0.05,5.05,5.835500000000001,-13.46071459172309,True,2026-06-16,3.6537701974865335,0.47145421903051965,7.7261613691931545,0.09779951100244498,True,2026-06-16,7839829378.25853,,,,正常,7839829378.25853,4.0594059405940595,True,2025-12-24,,基建市政工程,
000513,丽珠集团,29.74,29.74,29.77,30.44,30.46,30.52,29.71,6080497.0,181999111.0,-2.3,-0.7,29.74,33.8565,-12.158669679382095,True,2026-06-16,13.444745551045903,1.8198688729316257,9.67741935483871,1.270772238514174,True,2026-06-16,26406359265.419296,,,,正常,26406359265.419296,4.80833893745797,True,2026-06-16,,化学制剂,
000528,柳 工,8.27,8.27,8.28,8.5,8.48,8.49,8.22,33273520.0,276986476.0,-2.706,-0.23,8.27,10.46475,-20.97278960319168,True,2026-06-16,10.811346351490231,0.8839465570400817,22.119140625,21.533203125,True,2026-06-16,16844716974.166508,,,,正常,16844716974.166508,7.230718258766626,True,2026-06-04,,工程机械整机,
000563,陕国投Ａ,2.92,2.92,2.93,2.96,2.96,2.97,2.9,38687482.0,113195120.0,-1.351,-0.04,2.92,3.3284999999999996,-12.27279555355264,True,2026-06-16,11.176861538461534,0.7996307692307695,0.24437927663734116,0.4887585532746823,True,2026-06-16,14932793445.80923,,,,正常,14932793445.80923,3.0821917808219177,True,2026-04-28,,信托,
000568,泸州老窖,83.28,83.27,83.28,84.68,84.34,84.63,82.72,13330254.0,1112105811.0,-1.653,-1.4,83.28,105.62075,-21.151856997796358,True,2026-06-16,12.32164872346971,2.373817286988618,4.150390625,0.048828125,True,2026-06-16,122583326678.30695,,,,正常,122583326678.30695,7.144572526416907,True,2026-01-30,,白酒Ⅲ,
000581,威孚高科,17.92,17.92,17.93,18.21,18.21,18.21,17.82,8088662.0,145008473.0,-1.593,-0.29,17.92,20.7645,-13.698861036865805,True,2026-06-16,15.920920460230116,0.8516258129064533,92.84221525600836,5.5637616937469225,True,2026-06-16,17324799618.497246,,,,正常,17324799618.497246,5.580357142857142,True,2025-10-15,,底盘与发动机系统,
000596,古井贡酒,85.0,84.99,85.0,87.1,86.58,86.87,84.5,3657203.0,311830927.0,-2.411,-2.1,85.0,114.71625,-25.90413302387412,True,2026-06-16,15.895543437382468,1.7182211357653265,10.986328125,0.048828125,True,2026-06-16,44931000000.0,,,,正常,44931000000.0,7.0588235294117645,True,2026-02-10,,白酒Ⅲ,
000625,长安汽车,7.53,7.52,7.53,7.67,7.65,7.66,7.5,63632029.0,481054582.0,-1.825,-0.14,7.53,10.297083333333335,-26.87249625703072,True,2026-06-16,24.292152852529618,0.9645532831001077,61.97339246119734,17.333984375,True,2026-06-16,74644318562.97093,,,,正常,74644318562.97093,4.581673306772909,True,2025-11-28,,综合乘用车,
000661,长春高新,64.86,64.86,64.88,65.52,65.38,65.9,64.39,5355108.0,347800581.0,-1.007,-0.66,64.86,87.71908333333334,-26.059418845576175,True,2026-06-16,27.58849934130919,1.190985102205798,45.624385447394296,0.09784735812133072,True,2026-06-16,26458828130.857647,,,,正常,26458828130.857647,4.255319148936171,True,2026-05-25,,其他生物制品,
000683,博源化工,6.78,6.77,6.78,6.95,6.96,6.97,6.76,42680286.0,293047347.0,-2.446,-0.17,6.78,8.186083333333332,-17.17650891248357,True,2026-06-16,24.63034642032334,1.933787528868361,85.85805084745762,71.85658153241651,False,2026-06-16,25200117977.11316,,,,正常,25200117977.11316,4.424778761061947,True,2025-06-17,,纯碱,
000707,双环科技,4.76,4.75,4.76,4.72,4.74,4.77,4.66,5820226.0,27482778.0,0.847,0.04,4.76,6.002583333333334,-20.70080937374187,True,2026-06-16,20.98475997756957,1.008957264957265,79.7608095676173,0.4032258064516129,True,2026-06-16,2783253838.639319,,,,正常,2783253838.639319,3.813025210084034,True,2025-06-17,,纯碱,
000718,苏宁环球,1.94,1.94,1.95,1.99,1.99,1.99,1.93,56935932.0,110783006.0,-2.513,-0.05,1.94,2.212083333333333,-12.299868148427196,True,2026-06-16,316.59708334930247,0.6466666666666667,98.80208333333333,4.69208211143695,True,2026-06-16,5887194584.564814,,,,正常,5887194584.564814,3.608247422680412,True,2025-12-11,,房地产开发,
000726,鲁 泰Ａ,5.84,5.83,5.84,5.9,5.9,5.9,5.8,3781600.0,22043598.0,-1.017,-0.06,5.84,6.943583333333334,-15.893570802779555,True,2026-06-16,8.857333333333338,0.48666666666666597,14.66275659824047,1.5151515151515151,True,2026-06-16,4774349544.703029,,,,正常,4774349544.703029,3.4246575342465757,True,2025-10-23,,棉纺,
000731,四川美丰,5.81,5.81,5.82,5.9,5.9,5.9,5.79,4625280.0,26922553.0,-1.525,-0.09,5.81,6.898833333333333,-15.782861836542416,True,2026-06-16,42.47787765060394,0.8336086956521743,81.2720848056537,0.14691478942213515,True,2026-06-16,3188678478.999998,,,,正常,3188678478.999998,4.647160068846817,True,2025-10-20,,氮肥,
000786,北新建材,20.56,20.56,20.57,20.91,20.9,20.92,20.53,10556231.0,217966331.0,-1.674,-0.35,20.56,25.65458333333333,-19.85837488427994,True,2026-06-16,12.20553516819571,1.2496330275229357,15.848871442590776,0.04906771344455348,True,2026-06-16,34997973023.74005,,,,正常,34997973023.74005,3.3317120622568095,True,2026-06-12,,其他建材,
000788,北大医药,5.44,5.43,5.44,5.48,5.49,5.53,5.39,14212700.0,77597947.0,-0.73,-0.04,5.44,6.054833333333334,-10.154422087037906,True,2026-06-16,50.4691612903226,2.176000000000002,24.547677261613693,6.601466992665037,True,2026-06-16,3242171592.000001,,,,正常,3242171592.000001,4.191176470588235,True,2026-03-10,,化学制剂,
000789,万年青,4.21,4.21,4.23,4.25,4.25,4.25,4.19,3110635.0,13109403.0,-0.941,-0.04,4.21,5.212833333333333,-19.23777855932475,True,2026-06-16,115.69447164520794,0.5198582995951417,92.25464190981432,1.2218963831867058,True,2026-06-16,3357089162.0222673,,,,正常,3357089162.0222673,7.1258907363420425,True,2026-06-12,,水泥制造,
000807,云铝股份,25.38,25.38,25.39,26.9,26.4,26.4,25.31,121719905.0,3141911026.0,-5.651,-1.52,25.38,31.568249999999995,-19.602765436791703,True,2026-06-16,10.137506345177664,2.4719733502538084,15.995525727069351,81.82266009852216,True,2026-06-16,88016758939.22206,,,,正常,88016758939.22206,3.463356973995271,True,2026-06-10,,铝,
000858,五 粮 液,78.33,78.32,78.33,79.63,79.39,79.5,78.15,21756586.0,1708709322.0,-1.633,-1.3,78.33,99.59458333333332,-21.351144431382217,True,2026-06-16,24.12900683816349,2.3720905242591996,35.546875,0.048828125,True,2026-06-16,304046355031.94763,,,,正常,304046355031.94763,7.336907953529938,True,2025-12-18,,白酒Ⅲ,
000869,张 裕Ａ,17.27,17.22,17.27,17.63,17.63,17.63,17.15,992248.0,17130779.0,-2.042,-0.36,17.27,19.7245,-12.443914928135058,True,2026-06-16,187.546297255308,1.0821698601760739,99.01816396661758,0.049091801669121256,True,2026-06-16,11350537010.846193,,,,正常,11350537010.846193,3.763752171395484,True,2026-06-12,,其他酒类,
