代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,换手率,市盈率-动态,量比,最高,最低,今开,昨收,总市值,流通市值,市净率_x,60日涨跌幅,年初至今涨跌幅,市盈率TTM,现价,半年线,半年线乖离率,价格达标,价格数据日期,市盈率,市净率_y,市盈率10年分位,市净率10年分位,估值分位达标,估值数据日期,总市值_估值源,价格错误,估值错误,价格估值错误,数据状态,市净率,股息率,股息率达标,股息数据日期,股息错误,所属行业,行业错误,买入,卖出
000028,国药一致,19.25,1.8,0.34,19714.0,37708072.23,2.54,0.37,10.25,0.77,19.28,18.8,18.92,18.91,11785265492.0,10122769099.0,0.64,-17.95,-11.58,10.76,19.25,24.699583333333333,-22.06346260901837,True,2026-07-01,10.76,0.64,27.815866797257588,0.2938295788442703,True,2026-07-01,11785265492.0,,,,正常,0.64,3.2,True,2026-06-24,,医药流通,,,
000030,富奥股份,3.96,2.33,0.09,92574.0,36424305.89,3.36,0.55,13.65,1.04,3.99,3.86,3.87,3.87,6810450946.0,6616788037.0,0.82,-21.58,-29.16,10.26,3.96,5.0745000000000005,-21.962754951226728,True,2026-07-01,10.26,0.82,13.952357802625182,0.19445794846864364,True,2026-07-01,6810450946.0,,,,正常,0.82,3.787878787878788,True,2026-06-26,,底盘与发动机系统,,,
000090,天健集团,3.09,2.66,0.08,214808.0,65810603.61,3.99,1.15,-61.91,1.05,3.12,3.0,3.02,3.01,5773805391.0,5773453131.0,0.51,-14.64,-16.49,36.13,3.09,3.6593333333333335,-15.558389506285309,True,2026-07-01,36.13,0.51,96.93579766536965,0.09727626459143969,True,2026-07-01,5773805391.0,,,,正常,0.51,3.2362459546925573,True,2025-07-11,,房地产开发,,,
000157,中联重科,7.0,0.43,0.03,757628.0,527689035.78,3.3,1.07,17.12,0.91,7.07,6.84,6.95,6.97,60539746652.0,49487687200.0,1.04,-21.26,-16.96,13.97,7.0,8.382583333333333,-16.493523277430377,True,2026-07-01,13.97,1.04,31.259115216334465,35.05104521147302,False,2026-07-01,60539746652.0,,,,正常,1.04,7.142857142857142,True,2026-01-09,,工程机械整机,,,
000408,藏格矿业,68.32,-1.44,-1.0,147876.0,1011825788.66,4.02,0.94,17.03,0.94,70.23,67.44,68.8,69.32,107188255993.0,107187128713.0,7.01,-15.32,-17.59,22.91,68.32,81.9625,-16.64480707640691,True,2026-07-01,22.91,7.01,52.20356768100734,93.04390725209669,False,2026-07-01,107188255993.0,,,,正常,7.01,3.6592505854800943,True,2026-04-17,,锂,,,
000419,通程控股,4.66,3.33,0.15,74703.0,34613156.96,5.1,1.37,22.57,1.12,4.71,4.48,4.5,4.51,2533095172.0,2533095172.0,0.74,-21.42,-27.07,17.77,4.66,5.831083333333334,-20.083460763437333,True,2026-07-01,17.77,0.74,43.364122508507535,7.535245503159942,True,2026-07-01,2533095172.0,,,,正常,0.74,3.2188841201716736,True,2025-08-08,,多业态零售,,,
000498,山东路桥,4.84,2.33,0.11,76168.0,36441674.2,3.17,0.53,11.2,1.21,4.84,4.69,4.71,4.73,7513819396.0,7014843250.0,0.46,-17.41,-19.73,3.5,4.84,5.737333333333334,-15.640250987683025,True,2026-07-01,3.5,0.46,2.3832684824902723,0.2918287937743191,True,2026-07-01,7513819396.0,,,,正常,0.46,4.235537190082645,True,2025-12-24,,基建市政工程,,,
000513,丽珠集团,29.65,2.63,0.76,68112.0,199630404.17,4.4,1.2,11.41,1.18,29.72,28.45,28.9,28.89,26326447620.0,16845344892.0,1.99,-11.41,-10.23,13.41,29.65,33.35575,-11.109778673841841,True,2026-07-01,13.41,1.99,10.06319883325231,5.104521147301896,True,2026-07-01,26326447620.0,,,,正常,1.99,4.822934232715009,True,2026-06-16,,化学制剂,,,
000528,柳    工,7.72,2.25,0.17,397601.0,307061225.42,4.24,1.95,6.49,1.22,7.92,7.6,7.85,7.55,15727587679.0,15705735763.0,0.86,-16.54,-33.16,10.09,7.72,10.04475,-23.14393090918142,True,2026-07-01,10.09,0.86,15.687226809130648,19.5726080621661,True,2026-07-01,15727587679.0,,,,正常,0.86,4.20959585492228,True,2026-06-04,,工程机械整机,,,
000544,中原环保,7.12,2.15,0.15,33823.0,23874316.6,3.16,0.35,4.99,1.02,7.14,6.92,6.92,6.97,6939753555.0,6939753555.0,0.76,-13.91,-11.55,6.52,7.12,8.327416666666666,-14.49929449909435,True,2026-07-01,6.52,0.76,0.14727540500736377,3.1418753068237604,True,2026-07-01,6939753555.0,,,,正常,0.76,3.7921348314606744,True,2026-06-18,,水务及水治理,,,
