代码,名称,最新价,买入,卖出,昨收,今开,最高,最低,成交量,成交额,涨跌幅,涨跌额,现价,半年线,半年线乖离率,价格达标,价格数据日期,市盈率,市净率,市盈率10年分位,市净率10年分位,估值分位达标,估值数据日期,总市值_估值源,价格错误,估值错误,价格估值错误,数据状态,总市值,股息率,股息率达标,股息数据日期,股息错误,所属行业,行业错误,振幅,换手率,市盈率-动态,量比,流通市值,市净率_x,60日涨跌幅,年初至今涨跌幅,市盈率TTM,市净率_y
000028,国药一致,20.36,20.35,20.36,19.75,19.72,20.38,19.69,3762684.0,75566627.0,3.089,0.61,20.36,24.624083333333335,-17.31671906568435,True,2026-07-03,11.380446753246751,0.6769038961038961,34.73581213307241,1.076320939334638,True,2026-07-03,12464831450.24,,,,正常,12464831450.24,3.025540275049116,True,2026-06-24,,医药流通,,,,,,,,,,,
000030,富奥股份,4.09,4.09,4.1,3.97,3.98,4.11,3.96,11175294.0,45453259.0,3.023,0.12,4.09,5.045916666666667,-18.944360951924832,True,2026-07-03,10.59681818181818,0.8469191919191918,17.24137931034483,0.38853812530354537,True,2026-07-03,7034026355.843434,,,,正常,7034026355.843434,3.6674816625916873,True,2026-06-26,,底盘与发动机系统,,,,,,,,,,,
000090,天健集团,3.09,3.09,3.1,3.05,3.06,3.11,3.05,16388360.0,50477094.0,1.311,0.04,3.09,3.649,-15.319265552206085,True,2026-07-03,36.13,0.5099999999999999,96.93877551020408,0.1457725947521866,True,2026-07-03,5773805391.0,,,,正常,5773805391.0,3.2362459546925573,True,2025-07-11,,房地产开发,,,,,,,,,,,
000157,中联重科,7.17,7.17,7.18,6.98,7.06,7.21,7.05,82106019.0,587057366.0,2.722,0.19,7.17,8.360666666666667,-14.241288573478993,True,2026-07-03,14.30927142857143,1.065257142857143,32.3943661971831,40.845070422535215,False,2026-07-03,62009997642.12,,,,正常,62009997642.12,6.97350069735007,True,2026-01-09,,工程机械整机,,,,,,,,,,,
000408,藏格矿业,73.35,73.35,73.36,69.8,71.6,75.19,71.5,22468716.0,1658323987.0,5.086,3.55,73.35,81.79183333333334,-10.321120079225532,True,2026-07-03,24.59672862997657,7.526105093676815,55.39832285115304,95.12074913750615,False,2026-07-03,115079897205.59938,,,,正常,115079897205.59938,3.408316291751875,True,2026-04-17,,钾肥,,,,,,,,,,,
000419,通程控股,4.77,4.77,4.78,4.68,4.72,4.81,4.7,6944750.0,33053257.0,1.923,0.09,4.77,5.802833333333333,-17.7987764597754,True,2026-07-03,18.189463519313303,0.7574678111587981,47.64448761534726,12.23895094706168,True,2026-07-03,2592889264.042918,,,,正常,2592889264.042918,3.1446540880503147,True,2025-08-08,,多业态零售,,,,,,,,,,,
000425,徐工机械,8.42,8.41,8.42,8.2,8.33,8.53,8.31,145401127.0,1224059379.0,2.683,0.22,8.42,10.429166666666667,-19.264882141430284,True,2026-07-03,14.96543665436654,1.6363591635916357,43.947496353913465,80.4569761789013,False,2026-07-03,98608391980.19678,,,,正常,98608391980.19678,4.513064133016627,True,2026-07-03,,工程机械整机,,,,,,,,,,,
000498,山东路桥,4.95,4.94,4.95,4.89,4.92,4.98,4.91,6705589.0,33141500.0,1.227,0.06,4.95,5.718916666666667,-13.445145496670408,True,2026-07-03,3.5795454545454546,0.4704545454545455,5.636540330417882,0.6316812439261419,True,2026-07-03,7684588018.636363,,,,正常,7684588018.636363,4.141414141414141,True,2025-12-24,,基建市政工程,,,,,,,,,,,
000528,柳 工,8.16,8.15,8.16,8.07,8.07,8.21,8.07,40610613.0,330771929.0,1.115,0.09,8.16,9.981500000000002,-18.24876020638182,True,2026-07-03,10.665077720207252,0.9090155440414508,20.52401746724891,25.47307132459971,True,2026-07-03,16623978686.6114,,,,正常,16623978686.6114,3.9826078431372545,True,2026-06-04,,工程机械整机,,,,,,,,,,,
000544,中原环保,7.15,7.14,7.15,7.11,7.14,7.21,7.11,4186672.0,29931370.0,0.563,0.04,7.15,8.307666666666668,-13.934919552220848,True,2026-07-03,6.54747191011236,0.7632022471910113,0.34330554193231977,3.2859244727807746,True,2026-07-03,6968994089.641854,,,,正常,6968994089.641854,3.7762237762237763,True,2026-06-18,,水务及水治理,,,,,,,,,,,
000563,陕国投Ａ,2.86,2.86,2.87,2.84,2.84,2.88,2.84,29422340.0,84187893.0,0.704,0.02,2.86,3.272,-12.591687041564793,True,2026-07-03,10.95,0.79,0.4371053909664886,0.582807187955318,True,2026-07-03,14625955224.0,,,,正常,14625955224.0,3.146853146853147,True,2026-04-28,,信托,,,,,,,,,,,
000568,泸州老窖,77.2,77.2,77.21,77.17,77.45,78.56,76.6,10450460.0,809705840.0,0.039,0.03,77.2,101.23466666666667,-23.74153781313384,True,2026-07-03,11.42457040266735,2.1977943062323675,0.6792819019893256,0.24260067928190196,True,2026-07-03,113630792943.85742,,,,正常,113630792943.85742,7.7072538860103625,True,2026-01-30,,白酒Ⅲ,,,,,,,,,,,
000612,焦作万方,10.75,10.75,10.76,10.57,10.7,10.9,10.64,38415424.0,414335766.0,1.703,0.18,10.75,12.411000000000001,-13.3832890178068,True,2026-07-03,9.021050141911068,1.7492904446546829,2.166064981949458,78.40352595494613,True,2026-07-03,12816143485.927153,,,,正常,12816143485.927153,3.0232558139534884,True,2026-05-26,,铝,,,,,,,,,,,
000625,长安汽车,7.24,7.23,7.24,7.14,7.15,7.28,7.15,87004802.0,629054001.0,1.401,0.1,7.24,9.793583333333334,-26.074045080537434,True,2026-07-03,23.351265646731573,0.9263977746870656,58.99834892680242,16.157205240174672,True,2026-07-03,71769436167.39917,,,,正常,71769436167.39917,4.765193370165746,True,2025-11-28,,综合乘用车,,,,,,,,,,,
000655,金岭矿业,6.54,6.53,6.54,6.5,6.51,6.6,6.48,5524969.0,36147640.0,0.615,0.04,6.54,8.826416666666667,-25.904245777353964,True,2026-07-03,15.31763608087092,1.1289891135303267,12.988574864702345,19.941775836972344,True,2026-07-03,3893525104.301711,,,,正常,3893525104.301711,5.137614678899083,True,2026-06-25,,铁矿石,,,,,,,,,,,
000661,长春高新,68.96,68.95,68.96,69.11,69.93,70.38,68.12,8128111.0,561812754.0,-0.217,-0.15,68.96,84.67516666666667,-18.55935722988441,True,2026-07-03,29.33245320038054,1.2659513305820405,48.94865525672372,0.9722897423432183,True,2026-07-03,28131372000.00684,,,,正常,28131372000.00684,4.00232018561485,True,2026-05-25,,其他生物制品,,,,,,,,,,,
