代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,换手率,市盈率-动态,量比,最高,最低,今开,昨收,总市值,流通市值,市净率,60日涨跌幅,年初至今涨跌幅,市盈率TTM
920992,中科美菱,15.47,0.98,0.15,8576.0,13281486.19,2.68,1.75,61.83,1.14,15.68,15.27,15.3,15.32,1496427549.0,758297368.0,2.37,-11.14,-11.04,74.46
920985,海泰新能,6.72,0.75,0.05,23418.0,15711762.8,3.0,1.07,-13.49,1.31,6.8,6.6,6.63,6.67,2079680064.0,1473816012.0,3.3,-15.47,-6.54,-3.02
920982,锦波生物,184.65,-0.03,-0.06,4418.0,81770834.74,3.0,0.8,37.82,0.77,187.66,182.11,184.89,184.71,21246815031.0,10138224499.0,10.44,-16.6,-20.99,34.05
920981,晶赛科技,41.8,2.83,1.15,54861.0,225770558.27,8.07,14.7,200.93,1.58,42.62,39.34,39.54,40.65,3196362400.0,1559542032.0,6.24,19.43,30.79,252.93
920978,开特股份,27.4,3.32,0.88,32992.0,89510746.31,6.83,3.27,37.68,2.09,27.84,26.03,26.29,26.52,4932780023.0,2765617575.0,6.03,-11.76,-25.75,29.76
920976,视声智能,30.77,1.62,0.49,9778.0,29984258.22,3.1,2.22,42.46,1.2,31.2,30.26,30.49,30.28,2183236118.0,1357560092.0,7.47,1.69,15.42,33.61
920974,凯大催化,8.09,0.62,0.05,17230.0,13896985.36,1.87,1.34,25.25,0.7,8.12,7.97,8.02,8.04,1325142000.0,1039175013.0,2.03,-11.58,2.53,40.43
920971,天马新材,30.08,0.53,0.16,27219.0,81266073.62,4.24,3.18,149.65,1.64,30.59,29.32,29.4,29.92,3161047100.0,2577940284.0,6.69,-4.69,-1.38,74.42
920970,大禹生物,7.25,0.28,0.02,17634.0,12762386.52,2.07,2.52,-11.53,0.92,7.32,7.17,7.22,7.23,803305800.0,508016925.0,3.26,-15.11,-5.72,-18.24
920964,润农节水,6.1,0.66,0.04,10919.0,6639196.89,1.82,0.74,133.9,1.31,6.13,6.02,6.06,6.06,1593368800.0,900953146.0,1.83,-17.57,-8.82,-84.5
920961,创远信科,20.95,2.39,0.49,22917.0,47584169.58,4.55,2.2,-84.59,0.99,21.08,20.15,20.27,20.46,2992508643.0,2177759833.0,3.98,-24.09,-26.13,-271.53
920957,汉维科技,12.22,0.08,0.01,10716.0,13033278.91,2.13,2.51,73.58,0.53,12.29,12.03,12.23,12.21,1311222301.0,521851849.0,3.31,-9.55,-2.47,153.86
920953,国子软件,32.39,7.25,2.19,39122.0,127950012.71,16.06,6.53,822.15,5.34,35.0,30.15,30.85,30.2,4149676916.0,1939699540.0,6.88,-9.65,-9.4,68.25
920950,迅安科技,16.46,2.17,0.35,3243.0,5300924.37,3.23,0.91,30.36,1.59,16.53,16.01,16.18,16.11,1206847200.0,587952846.0,3.67,-11.84,-8.81,30.21
920946,森萱医药,10.38,0.29,0.03,18011.0,18744306.96,1.64,0.42,23.55,1.23,10.48,10.31,10.35,10.35,4431412369.0,4430049994.0,3.37,-6.23,-1.61,29.64
920943,优机股份,17.82,1.08,0.19,7885.0,14055363.89,3.46,1.52,-57.1,0.91,18.08,17.47,17.51,17.63,1809110956.0,923215584.0,2.77,-31.7,-32.63,36.69
920942,恒立钻具,25.95,1.61,0.41,10744.0,27572952.97,3.6,2.59,80.47,2.23,26.05,25.13,25.5,25.54,1591438245.0,1074719613.0,3.16,-16.51,-15.53,129.91
920932,科达自控,15.84,3.73,0.57,24601.0,38859124.36,7.92,2.83,-76.46,2.27,16.28,15.07,15.3,15.27,1668749544.0,1375120233.0,2.77,-20.24,-26.46,-18.66
920931,无锡鼎邦,12.25,1.66,0.2,3276.0,3986401.21,2.24,1.14,104.98,1.17,12.27,12.0,12.1,12.05,1150642500.0,352503550.0,2.91,-11.62,-14.28,231.3
920926,鸿智科技,14.72,0.82,0.12,3432.0,5032639.69,2.81,0.43,734.32,1.33,14.81,14.4,14.4,14.6,1300684769.0,1180284619.0,4.7,-17.3,-14.12,62.16
920925,锦好医疗,15.44,1.38,0.21,10396.0,16042810.65,3.35,1.88,-56.88,0.92,15.62,15.11,15.29,15.23,1523320328.0,853755618.0,4.15,-32.81,-51.52,287.3
920924,广脉科技,21.26,-0.42,-0.09,17920.0,38195374.2,3.47,2.74,143.51,1.51,21.67,20.93,21.08,21.35,2281123590.0,1389811718.0,7.06,-12.22,1.58,159.24
920914,远航精密,26.43,0.23,0.06,19166.0,50401645.25,3.79,1.93,36.12,1.24,26.8,25.8,26.3,26.37,2632375140.0,2630293778.0,2.66,-12.02,0.11,47.57
920906,舜宇精工,24.79,4.38,1.04,11973.0,29343396.25,5.39,3.59,934.51,3.15,24.98,23.7,23.99,23.75,1610606300.0,826888373.0,2.8,-11.65,-15.1,51.18
920896,旺成科技,18.07,3.97,0.69,14540.0,26075645.01,6.1,3.28,32.71,3.77,18.27,17.21,17.21,17.38,1829122017.0,800549518.0,3.99,-12.71,-15.0,29.75
920895,花溪科技,16.83,0.9,0.15,2322.0,3894330.64,2.58,0.81,-100.54,0.86,16.95,16.52,16.6,16.68,951298920.0,483642027.0,4.97,-27.02,-17.74,-268.61
920892,广咨国际,15.23,0.46,0.07,12090.0,18418963.02,2.37,0.8,88.32,1.68,15.37,15.01,15.1,15.16,2594451106.0,2297484260.0,5.81,-12.42,-3.06,23.95
920885,星辰科技,19.31,2.17,0.41,22310.0,42588425.36,4.34,2.52,1394.52,1.35,19.44,18.62,18.8,18.9,3298532269.0,1708996715.0,8.01,-21.44,-17.69,117.64
920879,基康技术,17.82,0.17,0.03,11648.0,20739150.16,4.16,0.77,55.21,1.05,18.1,17.36,17.69,17.79,3579482265.0,2678537013.0,4.59,0.17,0.62,45.16
920876,慧为智能,23.7,2.07,0.48,6531.0,15420127.78,4.57,1.66,-147.09,1.02,24.0,22.94,23.2,23.22,1521081618.0,930183501.0,5.99,-17.28,-6.4,847.73
920873,中设咨询,10.1,9.19,0.85,172359.0,174689199.86,19.78,14.39,-39.32,1.91,10.88,9.05,9.06,9.25,1549208720.0,1210044590.0,6.24,22.87,30.49,-25.36
920871,派特尔,13.31,0.23,0.03,4993.0,6628973.75,2.94,1.06,65.74,1.27,13.45,13.06,13.19,13.28,1131558182.0,625757525.0,4.21,-15.17,-12.43,103.41
920870,恒进感应,15.75,-1.13,-0.18,29053.0,45655290.11,4.71,4.4,85.83,2.68,16.15,15.4,15.72,15.93,2110500000.0,1039545675.0,4.6,-10.71,-10.21,114.99
