代码,名称,最新价,买入,卖出,昨收,今开,最高,最低,成交量,成交额,涨跌幅,涨跌额
920000,安徽凤凰,13.19,13.19,13.26,13.27,13.27,13.49,13.05,646319.0,8546457.0,-0.603,-0.08
920001,纬达光电,15.79,15.78,15.79,15.34,15.39,15.84,15.33,2573990.0,40206853.0,2.934,0.45
920002,万达轴承,61.5,61.5,61.51,60.19,60.27,61.5,59.5,1109382.0,67429794.0,2.176,1.31
920003,中诚咨询,27.78,27.71,27.78,27.39,27.58,27.78,27.42,206051.0,5694538.0,1.424,0.39
920005,鼎佳精密,29.33,29.33,29.36,29.17,29.28,29.4,28.93,336275.0,9791737.0,0.549,0.16
920006,晟楠科技,17.83,17.82,17.83,19.0,18.0,18.26,17.59,3953206.0,70489339.0,-6.158,-1.17
920007,酉立智能,40.41,40.41,40.49,40.3,40.8,41.1,40.18,137227.0,5581758.0,0.273,0.11
920008,成电光信,22.96,22.96,22.97,22.9,22.78,23.26,22.4,922852.0,21054938.0,0.262,0.06
920009,丹娜生物,33.99,33.99,34.17,34.52,34.98,34.98,33.55,191789.0,6579556.0,-1.535,-0.53
920010,凯添燃气,9.68,9.68,9.69,10.26,10.04,10.07,9.6,8734044.0,85406707.0,-5.653,-0.58
920011,晨光电机,23.8,23.8,23.81,23.12,23.24,23.87,23.07,1565105.0,36817854.0,2.941,0.68
920012,创达新材,63.18,63.18,63.2,59.8,61.51,63.49,59.0,2364431.0,145739553.0,5.652,3.38
920014,特瑞斯,9.13,9.12,9.13,9.0,8.93,9.18,8.93,1415112.0,12864307.0,1.444,0.13
920015,锦华新材,52.0,52.0,52.01,50.07,51.57,54.5,49.5,5450474.0,280993837.0,3.855,1.93
920016,中草香料,14.18,14.12,14.18,14.27,14.27,14.34,14.05,418463.0,5927562.0,-0.631,-0.09
920017,星昊医药,15.77,15.74,15.77,15.66,15.73,15.87,15.62,1037217.0,16309391.0,0.702,0.11
920018,宏远股份,17.16,17.15,17.16,16.72,16.91,17.25,16.85,990925.0,16944585.0,2.632,0.44
920019,铜冠矿建,19.26,19.25,19.26,19.25,19.36,19.7,18.95,4757838.0,91615063.0,0.052,0.01
920020,泰凯英,15.04,15.04,15.05,15.01,15.04,15.19,14.93,548893.0,8254516.0,0.2,0.03
920021,流金科技,8.4,8.39,8.4,8.31,8.36,8.49,8.26,12828476.0,107174749.0,1.083,0.09
920022,世昌股份,22.09,22.09,22.19,22.17,22.23,22.47,22.02,169130.0,3746757.0,-0.361,-0.08
920023,*ST田野,2.09,2.08,2.09,2.09,2.09,2.13,2.07,4809613.0,10074421.0,0.0,0.0
920026,卓兆点胶,26.84,26.81,26.84,24.5,25.26,26.99,24.36,3506083.0,90904334.0,9.551,2.34
920027,交大铁发,11.9,11.89,11.9,11.85,11.94,12.15,11.84,638155.0,7620044.0,0.422,0.05
920028,新恒泰,18.64,18.63,18.64,18.4,18.5,18.93,18.18,2201833.0,40835311.0,1.304,0.24
920029,开发科技,37.18,37.18,37.29,36.78,37.12,37.72,36.99,865010.0,32268597.0,1.088,0.4
920030,德众汽车,4.86,4.85,4.86,4.89,4.93,4.99,4.83,978560.0,4778621.0,-0.613,-0.03
920033,康普化学,16.51,16.51,16.52,16.13,15.88,16.51,15.73,2124462.0,34198109.0,2.356,0.38
920035,精创电气,26.08,26.06,26.08,25.51,25.9,26.13,25.53,498703.0,12867619.0,2.234,0.57
920036,觅睿科技,41.5,41.5,41.52,40.44,40.62,41.54,40.45,1161578.0,47761441.0,2.621,1.06
920037,广信科技,42.94,42.93,42.94,42.55,43.05,43.23,42.45,1061184.0,45466886.0,0.917,0.39
920039,国义招标,7.96,7.93,7.96,7.92,7.9,8.04,7.88,740500.0,5887661.0,0.505,0.04
920045,蘅东光,555.55,555.55,555.68,472.5,486.01,567.0,486.01,2239457.0,1179620416.0,17.577,83.05
920046,亿能电力,26.47,26.47,26.48,25.46,26.0,26.58,25.56,4024945.0,105414535.0,3.967,1.01
920047,诺思兰德,16.11,16.11,16.13,15.93,16.14,16.25,15.9,5154759.0,82865614.0,1.13,0.18
920050,爱舍伦,28.28,28.28,28.29,28.12,28.38,28.5,28.12,178588.0,5047670.0,0.569,0.16
920055,隆源股份,29.55,29.54,29.55,29.0,29.11,29.78,29.1,466497.0,13720838.0,1.897,0.55
920056,能之光,20.27,20.27,20.28,20.15,20.2,20.45,19.9,1227003.0,24792318.0,0.596,0.12
920057,百甲科技,5.18,5.14,5.18,5.2,5.19,5.29,5.05,1970666.0,10145040.0,-0.385,-0.02
920058,华洋赛车,22.89,22.89,22.94,22.68,22.9,23.09,22.76,273797.0,6276929.0,0.926,0.21
920060,万源通,30.56,30.56,30.57,29.17,29.22,30.85,29.2,3843642.0,115773130.0,4.765,1.39
920061,西磁科技,22.39,22.3,22.39,22.08,22.0,22.96,21.9,1156209.0,25929668.0,1.404,0.31
920062,科润智控,9.88,9.87,9.88,9.61,9.68,9.92,9.65,4243371.0,41527268.0,2.81,0.27
920066,科拜尔,22.27,22.19,22.27,22.57,22.56,22.88,22.09,535934.0,12034741.0,-1.329,-0.3
920068,天工股份,17.24,17.24,17.25,17.09,17.3,17.65,17.08,2081083.0,36005608.0,0.878,0.15
920069,XD普昂医,36.15,36.12,36.15,35.99,36.19,36.36,35.81,372094.0,13397098.0,0.445,0.16
920075,柏星龙,17.48,17.45,17.48,17.39,17.49,17.83,17.2,719108.0,12636001.0,0.518,0.09
920076,国亮新材,13.2,13.2,13.21,13.18,13.19,13.35,13.08,793108.0,10480171.0,0.152,0.02
920077,吉林碳谷,17.27,17.27,17.28,17.29,17.21,17.45,17.03,7571503.0,130542183.0,-0.116,-0.02
920078,族兴新材,28.85,28.85,28.92,27.79,28.02,29.18,27.8,2822850.0,80891753.0,3.814,1.06
920080,奥美森,22.96,22.95,22.96,22.85,23.08,23.21,22.61,213786.0,4892148.0,0.481,0.11
920082,方正阀门,9.06,9.05,9.06,8.99,9.07,9.18,9.0,784209.0,7122715.0,0.779,0.07
920083,金戈新材,39.38,39.38,39.39,39.8,38.93,40.88,36.36,8255938.0,317973339.0,-1.055,-0.42
920086,科马材料,26.45,26.45,26.47,26.21,26.61,26.61,26.17,699138.0,18451647.0,0.916,0.24
920087,秋乐种业,11.12,11.11,11.12,11.32,11.45,11.48,11.01,2873950.0,32069955.0,-1.767,-0.2
920088,科力股份,42.63,42.62,42.63,45.98,42.05,44.18,41.1,7254503.0,305889981.0,-7.286,-3.35
920089,禾昌聚合,11.85,11.83,11.85,11.73,11.82,11.95,11.76,827315.0,9806771.0,1.023,0.12
920090,*ST同辉,3.67,3.66,3.67,3.64,3.64,3.77,3.64,2314702.0,8590029.0,0.824,0.03
920091,大鹏工业,44.13,44.13,44.27,44.02,44.51,44.51,42.5,1285506.0,56186916.0,0.25,0.11
920092,汉鑫科技,30.46,30.46,30.49,30.12,30.12,30.95,29.5,1394196.0,42205210.0,1.129,0.34
920096,嘉晨智能,54.22,54.21,54.22,53.97,55.5,55.99,52.0,2174899.0,118101769.0,0.463,0.25
920098,科隆新材,22.09,22.08,22.09,22.21,22.67,22.67,22.01,611620.0,13598288.0,-0.54,-0.12
920099,瑞华技术,24.16,24.02,24.16,23.95,24.0,24.8,23.92,794188.0,19347087.0,0.877,0.21
920100,三协电机,43.97,43.97,43.98,41.79,42.2,44.45,42.2,2925469.0,127398446.0,5.217,2.18
920101,志高机械,29.35,29.35,29.36,29.15,29.15,29.53,29.13,234320.0,6873393.0,0.686,0.2
920106,林泰新材,44.6,44.6,44.7,44.91,44.71,45.31,43.8,715456.0,31816881.0,-0.69,-0.31
920108,宏海科技,10.06,10.03,10.06,9.91,9.95,10.11,9.95,609127.0,6111114.0,1.514,0.15
920110,雷特科技,26.9,26.9,26.96,26.0,26.52,26.94,26.0,135719.0,3593594.0,3.462,0.9
920111,聚星科技,32.2,32.19,32.2,30.32,30.55,32.47,30.14,4056354.0,127878564.0,6.201,1.88
920112,巴兰仕,25.06,24.96,25.06,24.9,25.1,25.21,24.85,273887.0,6852998.0,0.643,0.16
920116,星图测控,61.79,61.78,61.79,65.82,64.5,65.28,60.83,5540500.0,345020995.0,-6.123,-4.03
920118,太湖远大,19.21,19.12,19.21,18.85,19.11,19.48,18.9,408930.0,7843578.0,1.91,0.36
920119,美德乐,52.18,51.85,52.18,51.29,51.78,52.3,51.2,397314.0,20547123.0,1.735,0.89
920121,江天科技,31.24,31.19,31.24,31.1,31.27,31.5,30.96,181255.0,5650971.0,0.45,0.14
920122,中纺标,20.69,20.69,20.72,20.81,20.94,21.11,20.52,743241.0,15442790.0,-0.577,-0.12
920123,芭薇股份,10.61,10.61,10.64,10.66,10.77,10.92,10.52,777348.0,8294783.0,-0.469,-0.05
920124,南特科技,15.13,15.12,15.13,14.96,14.99,15.27,14.99,1315069.0,19854456.0,1.136,0.17
920125,鸿仕达,184.5,184.48,184.5,171.01,173.01,185.68,173.01,1789603.0,323389647.0,7.888,13.49
920126,N永大,17.68,17.67,17.68,7.79,19.01,23.11,17.56,37970070.0,749364696.0,126.958,9.89
920128,胜业电气,26.1,26.1,26.12,24.74,25.17,26.29,25.1,3321766.0,85762752.0,5.497,1.36
920130,立方控股,15.65,15.6,15.65,15.37,15.35,16.25,15.35,1289290.0,20246842.0,1.822,0.28
920132,泰鹏智能,11.5,11.48,11.5,11.44,11.44,11.59,11.24,424488.0,4851121.0,0.524,0.06
920139,华岭股份,17.35,17.34,17.35,16.68,16.9,17.38,16.62,4598467.0,78234806.0,4.017,0.67
920145,恒合股份,11.6,11.6,11.65,11.76,11.76,11.95,11.53,418862.0,4896759.0,-1.361,-0.16
920146,华阳变速,5.68,5.67,5.68,5.65,5.8,5.8,5.62,1344633.0,7641522.0,0.531,0.03
