数据日期,当日收盘价,当日涨跌幅,总市值,流通市值,总股本,流通股本,PE(TTM),PE(静),市净率,PEG值,市现率,市销率
2020-09-01,78.0,450.45871559633,7800000000.0,1849450902.0,100000000.0,23710909.0,123.43726424,111.6180873,19.75649883,-5.88510535,-2705.36412106,8.72653607
2020-09-02,53.25,-31.730769230769,5325000000.0,1262605904.25,100000000.0,23710909.0,84.26967078,76.2008096,13.48760978,-4.01771616,-1846.93127496,5.95753905
2020-09-03,48.1,-9.671361502347,4810000000.0,1140494722.9,100000000.0,23710909.0,76.11964628,68.83115384,12.18317428,-3.6291483,-1668.30787465,5.38136391
2020-09-04,43.12,-10.35343035343,4312000000.0,1022414396.08,100000000.0,23710909.0,68.23865172,61.70476826,10.92179781,-3.25340696,-1495.58078077,4.82420815
2020-09-07,43.62,1.159554730983,4362000000.0,1034269850.58,100000000.0,23710909.0,69.02991623,62.42026882,11.04844204,-3.29113199,-1512.92285847,4.88014748
2020-09-08,38.45,-11.852361302155,3845000000.0,911684451.05,100000000.0,23710909.0,60.84824115,55.02199303,9.73894077,-2.90105514,-1333.60577506,4.30173477
2020-09-09,34.25,-10.923276983095,3425000000.0,812098633.25,100000000.0,23710909.0,54.20161923,49.01178833,8.67512929,-2.58416485,-1187.93232239,3.83184437
2020-09-10,31.7,-7.445255474453,3170000000.0,751635815.3,100000000.0,23710909.0,50.16617021,45.36273548,8.02924375,-2.39176718,-1099.48772612,3.54655376
2020-09-11,33.0,4.10094637224,3300000000.0,782459997.0,100000000.0,23710909.0,52.22345795,47.22303693,8.35851873,-2.48985227,-1144.57712814,3.69199603
2020-09-14,34.8,5.454545454545,3480000000.0,825139633.2,100000000.0,23710909.0,55.0720102,49.79883895,8.81443794,-2.62566239,-1207.00860786,3.89337763
2020-09-15,36.01,3.477011494253,3601000000.0,853829833.09,100000000.0,23710909.0,56.98687032,51.5303503,9.12091696,-2.71695697,-1248.97643589,4.02875082
2020-09-16,43.21,19.994445987226,4321000000.0,1024548377.89,100000000.0,23710909.0,68.38107933,61.83355836,10.94459377,-3.26019747,-1498.70235476,4.83427723
2020-09-17,51.85,19.995371441796,5185000000.0,1229410631.65,100000000.0,23710909.0,82.05413014,74.19740803,13.13300595,-3.91208606,-1798.3734574,5.80090892
2020-09-18,46.08,-11.128254580521,4608000000.0,1092598686.72,100000000.0,23710909.0,72.92293764,65.94053157,11.67153161,-3.47673916,-1598.24588075,5.155369
2020-09-21,47.2,2.430555555556,4720000000.0,1119154904.8,100000000.0,23710909.0,74.69537015,67.54325283,11.95521467,-3.56124324,-1637.0921348,5.28067311
2020-09-22,41.9,-11.228813559322,4190000000.0,993487087.1,100000000.0,23710909.0,66.3079663,59.9589469,10.61278591,-3.16135788,-1453.26611119,4.68771617
2020-09-23,42.99,2.601431980907,4299000000.0,1019331977.91,100000000.0,23710909.0,68.03292294,61.51873812,10.88887031,-3.24359845,-1491.07184057,4.80966392
2020-09-24,43.73,1.721330541987,4373000000.0,1036878050.57,100000000.0,23710909.0,69.20399442,62.57767894,11.07630377,-3.2994315,-1516.73811556,4.89245413
2020-09-25,39.72,-9.169906242854,3972000000.0,941797305.48,100000000.0,23710909.0,62.85805302,56.83936446,10.06061709,-2.99687673,-1377.65465242,4.44382068
2020-09-28,36.2,-8.862034239678,3620000000.0,858334905.8,100000000.0,23710909.0,57.28755084,51.80224052,9.16904176,-2.73129249,-1255.56642542,4.05000777
2020-09-29,36.2,0.0,3620000000.0,858334905.8,100000000.0,23710909.0,57.28755084,51.80224052,9.16904176,-2.73129249,-1255.56642542,4.05000777
2020-09-30,36.21,0.027624309392,3621000000.0,858572014.89,100000000.0,23710909.0,57.30337613,51.81655053,5.01623689,-2.73204699,-1255.91326697,4.05112655
2020-10-09,39.1,7.981220657277,3910000000.0,927096541.9,100000000.0,23710909.0,61.87688502,55.95214376,5.41659382,-2.95009768,-1356.15047607,4.3744559
2020-10-12,43.15,10.358056265985,4315000000.0,1023125723.35,100000000.0,23710909.0,68.28612759,61.7476983,5.97764766,-3.25567046,-1496.62130543,4.82756451
2020-10-13,42.03,-2.595596755504,4203000000.0,996569505.27,100000000.0,23710909.0,66.51369507,60.14497704,5.82249203,-3.17116639,-1457.77505139,4.7022604
2020-10-14,44.44,5.733999524149,4444000000.0,1053712795.96,100000000.0,23710909.0,70.32759003,63.59368974,6.15635369,-3.35300105,-1541.3638659,4.97188799
2020-10-15,42.8,-3.690369036904,4280000000.0,1014826905.2,100000000.0,23710909.0,67.73224243,61.2468479,5.92916152,-3.22926294,-1484.48185104,4.78840697
2020-10-16,41.95,-1.985981308411,4195000000.0,994672632.55,100000000.0,23710909.0,66.38709275,60.03049695,5.81140948,-3.16513038,-1455.00031896,4.69331011
2020-10-19,40.6,-3.218116805721,4060000000.0,962662905.4,100000000.0,23710909.0,64.25067856,58.09864544,5.62439154,-3.06327279,-1408.17670917,4.54227391
2020-10-20,43.88,8.07881773399,4388000000.0,1040434686.92,100000000.0,23710909.0,69.44137378,62.79232911,6.07877588,-3.31074901,-1521.94073887,4.90923593
2020-10-21,49.99,13.924339106655,4999000000.0,1185308340.91,100000000.0,23710909.0,79.11062614,71.53574595,6.92520524,-3.77174893,-1733.86092836,5.59281459
2020-10-22,47.87,-4.240848169634,4787000000.0,1135041213.83,100000000.0,23710909.0,75.7556646,68.50202358,6.6315178,-3.61179479,-1660.33051891,5.35563182
2020-10-23,49.0,2.360559849593,4900000000.0,1161834541.0,100000000.0,23710909.0,77.5439224,70.11905484,6.78805875,-3.69705336,-1699.52361451,5.48205471
2020-10-26,54.03,10.265306122449,5403000000.0,1281100413.27,100000000.0,23710909.0,88.62402924,77.31699047,7.48487376,-4.07656721,-59.2599057,6.13543114
2020-10-27,50.15,-7.181195632056,5015000000.0,1189102086.35,100000000.0,23710909.0,82.25976432,71.76470613,6.94737033,-3.78382094,-55.00433594,5.69483383
2020-10-28,51.09,1.874376869392,5109000000.0,1211390340.81,100000000.0,23710909.0,83.80162232,73.10984718,7.07759024,-3.85474401,-56.03532449,5.80157648
2020-10-29,46.31,-9.356038363672,4631000000.0,1098052195.79,100000000.0,23710909.0,75.96111038,66.26966183,6.41540818,-3.49409268,-50.79263803,5.25877876
2020-10-30,44.44,-4.038004750594,4444000000.0,1053712795.96,100000000.0,23710909.0,72.89379714,63.59368974,6.15635369,-3.35300105,-48.74162889,5.04642902
2020-11-02,46.5,4.635463546355,4650000000.0,1102557268.5,100000000.0,23710909.0,76.27276253,66.54155204,6.44172922,-3.50842819,-51.00102933,5.2803544
2020-11-03,46.18,-0.688172043011,4618000000.0,1094969777.62,100000000.0,23710909.0,75.7478747,66.08363169,6.39739904,-3.48428417,-50.65005451,5.24401648
2020-11-04,46.04,-0.303161541793,4604000000.0,1091650250.36,100000000.0,23710909.0,75.51823628,65.88329153,6.37800459,-3.47372116,-50.49650302,5.22811864
2020-11-05,49.6,7.732406602954,4960000000.0,1176061086.4,100000000.0,23710909.0,81.35761337,70.97765551,6.87117784,-3.7423234,-54.40109796,5.63237803
2020-11-06,47.21,-4.818548387097,4721000000.0,1119392013.89,100000000.0,23710909.0,77.4373574,67.55756284,6.54008681,-3.56199774,-51.77975473,5.36097917
2020-11-09,47.23,0.042363905952,4723000000.0,1119866232.07,100000000.0,23710909.0,77.47016289,67.58618286,6.54285745,-3.56350674,-51.80169065,5.36325029
2020-11-10,44.03,-6.77535464747,4403000000.0,1043991323.27,100000000.0,23710909.0,72.22128461,63.00697928,6.09955565,-3.32206652,-48.2919424,4.99987106
2020-11-11,44.18,0.340676811265,4418000000.0,1047547959.62,100000000.0,23710909.0,72.46732578,63.22162945,6.12033542,-3.33338403,-48.45646185,5.01690446
2020-11-12,40.36,-8.646446355817,4036000000.0,956972287.24,100000000.0,23710909.0,66.20147733,57.75520517,5.5911439,-3.04516477,-44.26669987,4.58312051
2020-11-13,40.4,0.09910802775,4040000000.0,957920723.6,100000000.0,23710909.0,66.26708831,57.81244522,5.59668517,-3.04818277,-44.31057172,4.58766275
2020-11-16,43.95,8.787128712871,4395000000.0,1042094450.55,100000000.0,23710909.0,72.09006265,62.89249919,6.0884731,-3.31603052,-48.20419869,4.99078658
2020-11-17,42.73,-2.775881683732,4273000000.0,1013167141.57,100000000.0,23710909.0,70.0889278,61.14667783,5.91946429,-3.22398143,-46.86610717,4.85224825
2020-11-18,42.86,0.304235899836,4286000000.0,1016249559.74,100000000.0,23710909.0,70.30216348,61.33270797,5.93747343,-3.23378994,-47.00869069,4.86701053
2020-11-19,41.41,-3.383107792814,4141000000.0,981868741.69,100000000.0,23710909.0,67.92376551,59.25775635,5.7366023,-3.12438734,-45.41833601,4.70235432
2020-11-20,41.32,-0.217338807051,4132000000.0,979734759.88,100000000.0,23710909.0,67.77614081,59.12896625,5.72413444,-3.11759684,-45.31962435,4.69213427
2020-11-23,42.78,3.533397870281,4278000000.0,1014352687.02,100000000.0,23710909.0,70.17094153,61.21822788,5.92639089,-3.22775394,-46.92094699,4.85792605
2020-11-24,41.4,-3.225806451613,4140000000.0,981631632.6,100000000.0,23710909.0,67.90736277,59.24344634,5.73521699,-3.12363284,-45.40736805,4.70121876
2020-11-25,38.87,-6.111111111111,3887000000.0,921643032.83,100000000.0,23710909.0,63.75746838,55.6230135,5.3847315,-2.93274417,-42.63247334,4.41392205
2020-11-26,39.22,0.900437355287,3922000000.0,929941850.98,100000000.0,23710909.0,64.33156444,56.1238639,5.43321764,-2.95915169,-43.01635205,4.45366666
