Date,Open,High,Low,Close,Volume
2020-01-01,99.93,101.08,99.31,100.0,95095
2020-01-02,100.52,100.95,100.14,100.77,137923
2020-01-03,100.67,100.71,100.18,100.58,114925
2020-01-06,102.02,102.96,101.13,102.3,64683
2020-01-07,103.35,104.29,103.24,103.5,104319
2020-01-08,103.76,104.22,102.36,102.79,151158
2020-01-09,102.87,104.81,102.84,103.64,170018
2020-01-10,103.69,105.5,103.32,104.04,174168
2020-01-13,98.88,101.2,98.44,100.05,67374
2020-01-14,103.69,104.01,101.17,102.27,94516
2020-01-15,102.26,103.56,101.68,101.94,168028
2020-01-16,100.98,101.95,99.61,101.13,88712
2020-01-17,101.25,102.09,100.62,101.32,56859
2020-01-20,100.15,100.95,99.15,100.01,102953
2020-01-21,98.91,99.34,96.95,98.44,161249
2020-01-22,99.48,99.76,99.13,99.68,152638
2020-01-23,97.61,99.16,97.16,97.87,87019
2020-01-24,96.95,97.63,95.66,95.94,178585
2020-01-27,98.27,98.62,97.07,97.6,175814
2020-01-28,97.05,98.37,96.05,97.45,140880
2020-01-29,97.57,98.68,96.78,97.03,158036
2020-01-30,97.04,97.32,96.03,96.38,178216
2020-01-31,98.58,98.58,97.64,97.92,170721
2020-02-03,92.05,92.48,91.46,92.05,85503
2020-02-04,92.85,95.19,91.82,92.91,113344
2020-02-05,93.21,94.51,93.19,94.23,144715
2020-02-06,94.57,96.35,94.55,95.21,93469
2020-02-07,95.92,96.4,95.71,96.17,115206
2020-02-10,94.87,95.48,94.07,95.11,136724
2020-02-11,92.61,93.12,91.91,92.88,125324
2020-02-12,94.4,95.05,93.04,93.79,83340
2020-02-13,93.04,93.75,91.98,92.5,137959
2020-02-14,93.96,95.0,92.29,93.6,118798
2020-02-17,93.19,93.76,92.35,93.18,64026
2020-02-18,94.34,95.42,94.2,94.54,86182
2020-02-19,95.3,96.04,93.95,94.98,134425
2020-02-20,94.69,95.04,93.2,93.53,89104
2020-02-21,93.53,94.27,92.92,93.74,179744
