Date,Open,High,Low,Close,Volume
2020-01-01,99.92,101.35,99.37,100.0,27778
2020-01-02,99.61,100.2,99.24,99.77,94878
2020-01-03,100.56,101.47,99.94,101.12,88301
2020-01-06,104.51,104.53,103.87,104.25,43142
2020-01-07,104.03,104.45,103.7,103.81,60677
2020-01-08,103.74,104.73,102.69,103.38,57064
2020-01-09,107.33,107.75,106.54,106.69,71272
2020-01-10,109.27,109.96,107.96,108.38,23760
2020-01-13,108.62,108.67,107.21,107.42,62233
2020-01-14,108.57,108.76,108.36,108.64,86619
2020-01-15,107.5,109.03,106.99,107.69,89530
2020-01-16,107.02,108.26,106.33,106.74,95112
2020-01-17,107.56,108.28,106.73,107.31,19847
2020-01-20,104.22,104.5,102.35,103.26,10619
2020-01-21,100.54,100.55,99.69,99.74,76504
2020-01-22,97.37,99.46,97.29,98.67,49030
2020-01-23,96.51,97.05,96.46,96.72,39856
2020-01-24,97.44,98.12,97.32,97.38,45057
2020-01-27,96.98,97.04,95.65,95.66,99393
2020-01-28,92.75,94.36,92.2,93.01,16570
2020-01-29,95.05,96.48,94.82,95.78,32911
2020-01-30,95.56,95.58,95.19,95.39,92811
2020-01-31,94.4,96.54,94.18,95.57,33196
2020-02-03,92.01,93.51,91.69,92.89,58320
2020-02-04,92.31,93.09,90.63,91.93,65409
2020-02-05,92.32,92.52,91.03,92.18,60138
2020-02-06,90.65,91.36,89.17,90.1,41890
2020-02-07,91.31,92.11,89.7,90.83,36984
2020-02-10,89.92,89.92,88.89,89.78,15704
2020-02-11,89.85,90.46,87.97,89.3,95150
2020-02-12,87.97,89.25,87.11,88.27,39165
2020-02-13,92.67,92.86,90.98,91.59,35426
2020-02-14,91.6,92.8,91.09,91.61,61924
2020-02-17,89.59,90.15,89.22,89.71,19108
2020-02-18,91.24,91.76,90.48,91.24,18927
2020-02-19,88.81,89.55,88.75,89.05,86743
2020-02-20,89.44,90.37,88.64,89.47,32612
2020-02-21,86.19,87.12,85.34,86.01,41348
2020-02-24,83.8,84.79,83.63,83.77,63551
2020-02-25,84.32,84.87,83.46,84.14,36966
2020-02-26,86.38,86.46,84.5,85.42,68348
2020-02-27,86.65,86.82,85.2,85.76,97163
2020-02-28,85.55,86.83,84.76,85.6,55379
2020-03-02,84.85,86.32,84.68,85.13,16012
2020-03-03,82.95,83.42,82.01,82.66,52652
2020-03-04,81.36,82.49,80.85,81.51,64691
